tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
651	682	113	0	0	3	126	320	0	0	60	30	69	451	637208	29643	289623	383808
652	654	53	0	0	5	139	154	0	0	6	3	15	204	637412	29648	289628	382178
653	656	53	0	0	6	139	153	0	0	12	6	21	212	637624	29654	289635	380344
654	677	69	0	0	5	139	184	0	0	30	15	39	270	637894	29659	289648	449398
655	689	73	0	0	6	158	195	0	0	36	18	45	290	638184	29665	289663	383260
656	828	216	0	0	1	123	487	0	0	24	12	33	564	638748	29666	289680	428154
657	690	70	0	0	1	158	180	0	0	12	6	21	239	638987	29667	289691	410312
658	623	89	0	0	3	126	232	0	0	12	6	21	291	639278	29670	289702	364704
659	646	96	0	0	0	123	255	0	0	12	6	21	314	639592	29670	289711	315404
660	644	97	0	0	12	126	256	0	0	12	6	21	315	639907	29682	289722	388007
661	736	181	0	0	1	123	414	0	0	30	15	39	500	640407	29683	289742	411180
662	474	33	0	0	0	158	107	0	0	12	6	21	166	640573	29683	289750	233769
663	476	74	0	0	22	126	211	0	0	12	6	21	270	640843	29705	289760	241499
664	181	62	0	0	1	64	180	0	0	72	36	81	329	641172	29706	289778	48672
665	885	237	0	0	1	123	475	0	0	0	0	0	491	641663	29707	289795	391715
666	499	211	0	0	0	123	429	0	0	11	6	20	487	642150	29707	289804	158748
667	931	224	0	0	24	123	466	0	0	6	3	15	516	642666	29731	289815	435068
668	943	283	0	0	0	88	635	0	0	89	45	98	810	643476	29731	289848	450902
669	5190	78	0	0	0	1085	221	0	0	12	6	21	280	643756	29731	289872	4078523
670	4940	71	0	0	1	666	198	0	0	24	12	33	275	644031	29732	289898	3913107
671	5404	474	0	0	14	633	1138	0	0	62	33	71	1274	645305	29746	289950	4161080
672	5038	61	0	0	1	1085	191	0	0	6	3	15	241	645546	29747	289958	4097724
673	4963	74	0	0	8	666	206	0	0	6	3	15	256	645802	29755	289962	3902474
674	4957	63	0	0	3	666	178	0	0	30	15	39	264	646066	29758	289974	3949819
675	4946	61	0	0	2	666	177	0	0	12	6	21	236	646302	29760	289981	3906618
676	4983	80	0	0	2	666	221	0	0	12	6	21	280	646582	29762	289991	3991023
677	4984	77	0	0	3	666	216	0	0	12	6	21	275	646857	29765	289999	3946975
678	4974	71	0	0	3	1054	220	0	0	12	6	21	279	647136	29768	290011	3940124
679	5049	75	0	0	16	666	216	0	0	24	12	33	293	647429	29784	290024	4127885
680	5051	176	0	0	5	672	471	0	0	47	24	56	583	648012	29789	290059	4035572
681	5038	55	0	0	0	986	173	0	0	0	0	0	189	648201	29789	290065	3974295
682	6	3	0	0	0	4	18	0	0	0	0	0	34	648235	29789	290067	290
683	5018	127	0	0	6	2085	366	0	0	45	24	54	476	648711	29795	290104	3965805
684	5039	83	0	0	3	2085	243	0	0	18	9	27	311	649022	29798	290123	3921355
685	4965	65	0	0	3	2085	189	0	0	12	6	21	248	649270	29801	290136	3914667
686	5227	224	0	0	18	633	580	0	0	45	24	54	690	649960	29819	290163	4021565
687	5024	55	0	0	0	2085	173	0	0	24	12	33	250	650210	29819	290176	3990721
688	2526	223	0	0	6	2085	504	0	0	0	0	0	520	650730	29825	290186	1759505
