tu	cum_src	srcbytes	onl_tu_wire	ceil_tu_wire	cum_onl_wire	cum_ceil_wire	onl_tu_tok	ceil_tu_tok	cum_onl_tok	cum_ceil_tok	blocks	pairs
218	669399200	4798357	2002	1335	3918409	3853208	800	556	151203	31326	13468	31635
219	674094193	4694993	1932	1336	3920341	3854544	742	565	151945	31891	13497	31714
220	678723412	4629219	1192	460	3921533	3855004	453	163	152398	32054	13535	31770
221	681926295	3202883	1143	726	3922676	3855730	414	283	152812	32337	13551	31829
222	686894274	4967979	2232	1428	3924908	3857158	672	316	153484	32653	13596	31881
223	689326410	2432136	447	454	3925355	3857612	157	161	153641	32814	13611	31893
224	693393160	4066750	736	452	3926091	3858064	244	162	153885	32976	13622	31940
225	697271186	3878026	448	346	3926539	3858410	162	116	154047	33092	13630	31955
226	702118356	4847170	1664	980	3928203	3859390	704	405	154751	33497	13740	32016
227	706832342	4713986	1881	1176	3930084	3860566	633	476	155384	33973	13779	32139
228	711647979	4815637	1546	1008	3931630	3861574	590	398	155974	34371	13849	32217
229	714066616	2418637	221	403	3931851	3861977	53	143	156027	34514	13855	32239
230	718861851	4795235	1323	1272	3933174	3863249	477	522	156504	35036	13884	32309
231	721302787	2440936	221	416	3933395	3863665	51	152	156555	35188	13886	32319
232	726031230	4728443	1044	647	3934439	3864312	393	251	156948	35439	13912	32376
233	729916476	3885246	414	353	3934853	3864665	117	118	157065	35557	13917	32399
234	734606683	4690207	1286	1368	3936139	3866033	499	565	157564	36122	13939	32453
235	739236517	4629834	1422	1125	3937561	3867158	539	452	158103	36574	13965	32526
236	739273100	36583	97	95	3937658	3867253	27	25	158130	36599	13965	32531
237	739289405	16305	60	55	3937718	3867308	12	10	158142	36609	13965	32533
238	739795228	505823	95	96	3937813	3867404	27	25	158169	36634	13965	32535
239	739876826	81598	280	150	3938093	3867554	78	42	158247	36676	13965	32550
240	739999236	122410	308	190	3938401	3867744	103	60	158350	36736	13969	32560
241	740019392	20156	69	64	3938470	3867808	15	13	158365	36749	13969	32562
242	740067375	47983	127	135	3938597	3867943	40	41	158405	36790	13969	32564
243	740292574	225199	345	319	3938942	3868262	138	122	158543	36912	13970	32569
244	740339759	47185	122	125	3939064	3868387	37	35	158580	36947	13973	32573
245	740465662	125903	477	410	3939541	3868797	184	173	158764	37120	13979	32580
246	741834125	1368463	886	415	3940427	3869212	303	185	159067	37305	13993	32622
247	743105464	1271339	775	454	3941202	3869666	316	207	159383	37512	14007	32646
248	744218650	1113186	451	206	3941653	3869872	152	67	159535	37579	14047	32673
249	745423440	1204790	1052	708	3942705	3870580	432	349	159967	37928	14055	32705
250	746619323	1195883	524	298	3943229	3870878	200	118	160167	38046	14056	32721
251	747770905	1151582	554	353	3943783	3871231	244	168	160411	38214	14057	32731
252	748862844	1091939	316	108	3944099	3871339	101	31	160512	38245	14064	32740
253	749397341	534497	277	230	3944376	3871569	89	88	160601	38333	14069	32753
254	750538470	1141129	433	224	3944809	3871793	146	81	160747	38414	14092	32774
255	751680670	1142200	475	284	3945284	3872077	137	101	160884	38515	14109	32798
256	751861753	181083	104	88	3945388	3872165	28	22	160912	38537	14109	32800
257	753195182	1333429	991	903	3946379	3873068	426	410	161338	38947	14127	32835
258	754426533	1231351	678	582	3947057	3873650	264	246	161602	39193	14237	32863
259	754476843	50310	87	90	3947144	3873740	21	22	161623	39215	14237	32873
260	755081236	604393	304	225	3947448	3873965	100	72	161723	39287	14244	32886
261	756186203	1104967	379	191	3947827	3874156	107	60	161830	39347	14270	32906
262	756790433	604230	295	101	3948122	3874257	60	26	161890	39373	14272	32924
263	756874811	84378	230	173	3948352	3874430	60	52	161950	39425	14277	32934
264	758045658	1170847	464	389	3948816	3874819	204	166	162154	39591	14281	32946
265	758580317	534659	138	144	3948954	3874963	41	41	162195	39632	14281	32953
266	758616562	36245	100	72	3949054	3875035	14	16	162209	39648	14281	32959
267	758785509	168947	551	441	3949605	3875476	231	198	162440	39846	14284	32971
268	761399653	2614144	1052	710	3950657	3876186	444	281	162884	40127	14307	33002
269	762694734	1295081	718	751	3951375	3876937	313	323	163197	40450	14310	33011
270	762722575	27841	85	105	3951460	3877042	22	27	163219	40477	14310	33013
271	764437278	1714703	851	595	3952311	3877637	344	227	163563	40704	14337	33027
272	766059352	1622074	969	634	3953280	3878271	365	239	163928	40943	14392	33054
273	767086356	1027004	336	253	3953616	3878524	87	84	164015	41027	14394	33069
274	771000809	3914453	461	365	3954077	3878889	147	126	164162	41153	14417	33100
275	775815791	4814982	6935	6784	3961012	3885673	358	296	164520	41449	14429	33206
276	780578825	4763034	12267	12419	3973279	3898092	407	466	164927	41915	14466	33353
277	785323099	4744274	21125	21181	3994404	3919273	540	545	165467	42460	14485	33653
278	789941487	4618388	13404	14860	4007808	3934133	364	524	165831	42984	14492	33834
279	794488740	4547253	11960	12416	4019768	3946549	393	463	166224	43447	14525	33952
280	798660572	4171832	5688	5725	4025456	3952274	394	332	166618	43779	14538	34109
281	802832404	4171832	991	828	4026447	3953102	384	332	167002	44111	14557	34129
282	806817251	3984847	11796	13665	4038243	3966767	609	352	167611	44463	14570	34386
283	816903213	10085962	737934	737593	4776177	4704360	452	188	168063	44651	14585	34475
284	820572796	3669583	7552	7455	4783729	4711815	471	286	168534	44937	14604	34602
285	820707836	135040	3184	3762	4786913	4715577	192	62	168726	44999	14604	34698
286	821389315	681479	10454	10224	4797367	4725801	350	190	169076	45189	14624	34855
287	822040416	651101	3961	3617	4801328	4729418	224	97	169300	45286	14663	34943
288	822173992	133576	1513	1296	4802841	4730714	159	44	169459	45330	14673	34979
289	822299107	125115	2242	1976	4805083	4732690	141	44	169600	45374	14685	35028
290	826450886	4151779	507126	506878	5312209	5239568	501	414	170101	45788	14707	35358
291	826576885	125999	2910	2626	5315119	5242194	104	30	170205	45818	14710	35404
292	826746086	169201	10158	9967	5325277	5252161	188	101	170393	45919	14727	35487
293	826752225	6139	1017	1018	5326294	5253179	7	7	170400	45926	14727	35492
294	826894480	142255	3650	3388	5329944	5256567	164	84	170564	46010	14734	35565
295	827021209	126729	2395	2236	5332339	5258803	120	59	170684	46069	14745	35623
296	827105232	84023	472	362	5332811	5259165	53	13	170737	46082	14747	35639
297	827784756	679524	1835	1451	5334646	5260616	275	191	171012	46273	14747	35723
298	827912328	127572	991	934	5335637	5261550	104	41	171116	46314	14759	35747
299	828043741	131413	1700	1499	5337337	5263049	106	44	171222	46358	14778	35786
300	828521266	477525	1876	1668	5339213	5264717	128	85	171350	46443	14781	35871
301	828658660	137394	2737	2616	5341950	5267333	106	61	171456	46504	14789	35926
302	828778613	119953	703	584	5342653	5267917	56	22	171512	46526	14790	35954
303	828923352	144739	4886	4926	5347539	5272843	171	146	171683	46672	14796	36071
304	829072760	149408	4848	4742	5352387	5277585	159	118	171842	46790	14807	36171
305	829213816	141056	2367	2250	5354754	5279835	114	77	171956	46867	14807	36240
306	829300302	86486	767	726	5355521	5280561	43	23	171999	46890	14810	36257
307	829430118	129816	1017	964	5356538	5281525	80	54	172079	46944	14817	36287
308	829552413	122295	1315	1233	5357853	5282758	62	37	172141	46981	14821	36327
309	829722436	170023	6923	6888	5364776	5289646	289	273	172430	47254	14824	36582
310	829901074	178638	6970	6863	5371746	5296509	327	306	172757	47560	14826	36878
311	830555097	654023	1785	1751	5373531	5298260	146	114	172903	47674	14830	36939
312	830698201	143104	2956	2921	5376487	5301181	111	94	173014	47768	14831	37002
313	830833421	135220	2093	2051	5378580	5303232	144	97	173158	47865	14832	37103
314	830968645	135224	1666	1605	5380246	5304837	78	55	173236	47920	14836	37146
315	831115892	147247	3273	3227	5383519	5308064	124	105	173360	48025	14839	37205
316	831248710	132818	1383	1264	5384902	5309328	134	92	173494	48117	14842	37246
317	831384061	135351	2045	1949	5386947	5311277	135	94	173629	48211	14843	37287
318	831517404	133343	1272	1190	5388219	5312467	128	89	173757	48300	14847	37320
319	831652389	134985	2131	2012	5390350	5314479	122	86	173879	48386	14849	37355
320	831784885	132496	1170	1094	5391520	5315573	120	86	173999	48472	14855	37384
321	831916408	131523	1003	899	5392523	5316472	113	83	174112	48555	14863	37416
322	832051227	134819	1592	1513	5394115	5317985	123	99	174235	48654	14916	37459
323	832191008	139781	2914	2675	5397029	5320660	140	104	174375	48758	14920	37547
324	832326939	135931	1737	1685	5398766	5322345	82	62	174457	48820	14925	37591
325	832458465	131526	1028	995	5399794	5323340	81	85	174538	48905	14925	37633
326	832590625	132160	1171	1210	5400965	5324550	82	86	174620	48991	14928	37662
327	832732968	142343	2862	2806	5403827	5327356	92	80	174712	49071	14931	37718
328	832866368	133400	1475	1405	5405302	5328761	70	54	174782	49125	14935	37763
329	833007776	141408	2322	2296	5407624	5331057	94	89	174876	49214	14941	37820
330	833140895	133119	1145	1174	5408769	5332231	86	92	174962	49306	14943	37855
331	833275075	134180	1342	1361	5410111	5333592	91	99	175053	49405	14943	37896
332	833412443	137368	1960	2004	5412071	5335596	93	103	175146	49508	14944	37935
333	833548096	135653	1337	1278	5413408	5336874	73	63	175219	49571	14945	37980
334	833692116	144020	2800	2739	5416208	5339613	143	121	175362	49692	14953	38041
335	833832315	140199	2265	2234	5418473	5341847	72	73	175434	49765	14955	38089
336	837997201	4164886	4080	3853	5422553	5345700	346	328	175780	50093	14972	38175
337	842162087	4164886	920	820	5423473	5346520	332	328	176112	50421	14997	38202
338	842878313	716226	14547	14434	5438020	5360954	305	259	176417	50680	15002	38316
339	844036743	1158430	5757	5481	5443777	5366435	320	239	176737	50919	15010	38469
340	852349670	8312927	265634	265420	5709411	5631855	493	229	177230	51148	15036	38605
341	852455877	106207	1246	1160	5710657	5633015	114	89	177344	51237	15038	38619
342	853201291	745414	1203	1251	5711860	5634266	169	143	177513	51380	15055	38651
343	853823986	622695	1456	1549	5713316	5635815	117	136	177630	51516	15055	38676
344	853925235	101249	1125	1017	5714441	5636832	104	88	177734	51604	15059	38699
345	854029212	103977	1562	1500	5716003	5638332	102	89	177836	51693	15111	38717
346	854751172	721960	8548	8207	5724551	5646539	262	230	178098	51923	15112	38880
347	859733447	4982275	46691	45803	5771242	5692342	1085	704	179183	52627	15163	39400
348	862632103	2898656	2319	2192	5773561	5694534	135	95	179318	52722	15163	39460
349	867713863	5081760	43340	43019	5816901	5737553	971	646	180289	53368	15205	39841
350	871892228	4178365	24162	24183	5841063	5761736	465	332	180754	53700	15235	40081
