tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
268	7247	171	0	0	3	801	429	0	0	24	12	33	506	1060175	31604	816654	5742240
269	4029	24	0	0	4	1857	81	0	0	6	3	15	131	1060306	31608	816664	4308934
270	6878	79	0	0	2	922	242	0	0	18	9	27	310	1060616	31610	816675	5682447
271	7967	692	0	0	4	1857	1409	0	0	12	6	21	1468	1062084	31614	816697	6022113
272	7375	115	0	0	2	1265	314	0	0	0	0	0	330	1062414	31616	816707	5889343
273	8947	551	0	0	14	1857	1152	0	0	6	3	15	1202	1063616	31630	816718	6351398
274	10337	1892	0	0	12	1591	3834	0	0	42	21	51	3938	1067554	31642	816752	6750963
275	7342	62	0	0	3	1591	187	0	0	18	9	27	255	1067809	31645	816762	5875958
276	3341	76	0	0	0	537	223	0	0	12	6	21	282	1068091	31645	816780	2789125
277	7406	233	0	0	13	989	598	0	0	67	36	76	742	1068833	31658	816820	5859275
278	7357	85	0	0	1	1591	241	0	0	23	12	32	317	1069150	31659	816833	5866499
279	5425	181	0	0	5	1060	456	0	0	42	21	51	560	1069710	31664	816866	5007032
280	7385	84	0	0	2	1857	225	0	0	18	9	27	293	1070003	31666	816882	5860727
281	5053	150	0	0	4	734	416	0	0	16	9	25	482	1070485	31670	816909	4832330
282	5525	148	0	0	7	1265	398	0	0	21	12	30	472	1070957	31677	816931	5131156
283	4018	53	0	0	3	1265	166	0	0	18	9	27	234	1071191	31680	816944	4272879
284	2187	44	0	0	0	588	139	0	0	6	3	15	189	1071380	31680	816958	1593458
285	9039	765	0	0	2	1422	1537	0	0	12	6	21	1596	1072976	31682	816983	6404222
286	2618	73	0	0	0	922	199	0	0	6	3	15	249	1073225	31682	816992	2359368
287	7343	57	0	0	3	1591	179	0	0	6	3	15	229	1073454	31685	817004	5877132
288	7153	390	0	0	3	922	848	0	0	23	12	32	924	1074378	31688	817034	5731730
289	3736	44	0	0	1	431	141	0	0	0	0	0	157	1074535	31689	817041	2952727
290	6567	300	0	0	5	734	664	0	0	36	18	45	759	1075294	31694	817064	5571958
291	3754	60	0	0	3	1157	179	0	0	17	9	26	246	1075540	31697	817082	2946245
292	5008	124	0	0	4	1157	332	0	0	17	9	26	399	1075939	31701	817105	4983382
293	5154	394	0	0	7	798	932	0	0	83	51	92	1107	1077046	31708	817161	4888396
294	6368	126	0	0	6	734	353	0	0	74	39	83	507	1077553	31714	817198	5549525
