aff_ord	tu	C_wire	B_wire	extra	C_tok	B_tok	new_regions	new_blocks	deepest
155	155	316	584	0	77	204	0	8	2085
156	156	288	632	0	83	220	0	2	995
157	157	298	706	0	77	220	0	9	995
158	158	125	210	0	22	52	0	0	3207
159	159	195	535	0	46	185	0	2	1319
160	160	906	1321	0	352	522	0	3	2010
161	161	368	971	0	108	383	0	3	1141
162	162	449	1130	0	133	391	0	8	1141
163	163	187	553	0	37	151	0	2	1326
164	164	380	787	0	98	238	0	2	661
165	165	425	901	0	98	290	0	5	1929
166	166	196	331	0	46	97	0	4	666
167	167	132	327	0	36	95	0	0	1929
168	168	92	189	0	11	44	0	0	1929
169	169	407	1048	0	131	452	0	3	1929
170	170	383	854	0	96	297	0	8	633
171	171	354	844	0	92	286	0	11	977
172	172	106	101	5	16	26	0	1	1572
173	173	418	836	0	108	276	0	2	1446
174	174	78	149	0	18	32	0	1	1028
175	175	316	632	0	79	213	0	3	1929
176	176	95	205	0	12	44	0	0	1929
177	177	383	784	0	103	279	0	8	1446
178	178	299	883	0	73	277	0	6	1319
179	179	98	128	0	10	22	0	0	78
180	180	77	54	23	6	10	0	0	78
181	181	92	85	7	11	22	0	0	78
182	182	116	185	0	13	37	0	0	164
183	183	137	157	0	23	49	0	0	110
184	184	83	63	20	8	13	0	0	78
185	185	67	160	0	14	31	0	0	66
186	186	184	313	0	47	109	0	1	110
187	187	107	117	0	16	31	0	2	78
188	188	235	502	0	69	147	0	0	110
189	189	224	849	0	39	152	0	1	185
190	190	215	465	0	50	173	0	0	303
191	191	128	241	0	20	70	0	0	303
192	192	397	754	0	164	370	0	0	303
193	193	192	387	0	50	134	0	0	303
194	194	232	464	0	73	181	0	3	303
195	195	98	179	0	13	43	0	1	303
196	196	136	249	0	40	80	0	0	85
197	197	158	263	0	30	84	0	4	303
198	198	121	314	0	32	78	0	4	303
199	199	92	118	0	11	20	0	1	47
200	200	387	770	0	118	293	0	0	250
201	201	202	429	0	46	147	0	0	250
202	202	89	81	8	10	19	0	0	78
203	203	91	222	0	22	50	0	0	185
204	204	116	173	0	19	54	0	1	303
205	205	64	120	0	13	32	0	0	303
206	206	79	167	0	18	38	0	0	110
207	207	226	515	0	67	153	0	2	303
208	208	122	134	0	21	38	0	2	78
209	209	46	97	0	7	13	0	0	78
210	210	232	421	0	92	192	0	0	164
211	211	359	698	0	95	262	0	2	539
