tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
792	2617	35	0	0	2	808	113	0	0	17	9	26	180	245522	36593	156384	1926362
793	2393	31	0	0	0	2118	98	0	0	0	0	0	114	245636	36593	156388	1836657
794	2048	25	0	0	0	1400	83	0	0	6	3	15	133	245769	36593	156395	1647881
795	2316	28	0	0	0	2118	90	0	0	0	0	0	106	245875	36593	156400	1805354
796	2537	24	0	0	0	1298	81	0	0	0	0	0	97	245972	36593	156403	1890362
797	2610	46	0	0	3	1230	145	0	0	0	0	0	161	246133	36596	156415	1997579
798	2584	27	0	0	2	1221	90	0	0	0	0	0	106	246239	36598	156421	1919505
799	2173	14	0	0	0	1221	51	0	0	0	0	0	67	246306	36598	156424	1744972
800	2581	42	0	0	1	1895	135	0	0	6	3	15	185	246491	36599	156435	1928218
801	2339	24	0	0	3	536	78	0	0	0	0	0	94	246585	36602	156440	1809146
802	2710	20	0	0	0	2118	68	0	0	4	3	13	116	246701	36602	156449	1958557
803	1920	18	0	0	0	1895	61	0	0	0	0	0	77	246778	36602	156453	1576899
804	2384	45	0	0	1	581	142	0	0	0	0	0	158	246936	36603	156459	1774638
805	2992	139	0	0	0	1779	364	0	0	24	12	33	441	247377	36603	156473	2140066
806	3349	79	0	0	2	889	212	0	0	6	3	15	262	247639	36605	156484	2458026
807	2637	56	0	0	1	1280	165	0	0	0	0	0	181	247820	36606	156490	1971350
808	2561	49	0	0	1	808	152	0	0	12	6	21	211	248031	36607	156498	1982098
809	2012	20	0	0	0	536	69	0	0	6	3	15	119	248150	36607	156503	1633307
810	2459	34	0	0	0	1779	109	0	0	6	3	15	159	248309	36607	156510	1847251
811	1981	26	0	0	1	774	87	0	0	6	3	15	137	248446	36608	156520	1615799
812	3586	77	0	0	0	1400	217	0	0	0	0	0	233	248679	36608	156537	2746496
813	2455	71	0	0	12	413	209	0	0	0	0	0	225	248904	36620	156545	1920644
814	1501	16	0	0	0	536	57	0	0	0	0	0	73	248977	36620	156547	1324390
815	2568	23	0	0	1	1779	75	0	0	6	3	15	125	249102	36621	156556	1920969
816	271	32	0	0	1	93	97	0	0	6	3	15	147	249249	36622	156561	64525
817	2875	65	0	0	3	867	193	0	0	12	6	21	252	249501	36625	156576	2113814
818	2448	24	0	0	0	1779	80	0	0	5	3	14	129	249630	36625	156583	1842579
819	3040	276	0	0	3	699	680	0	0	60	30	69	811	250441	36628	156619	2106772
820	2708	31	0	0	3	808	100	0	0	6	3	15	150	250591	36631	156625	1973230
821	2584	26	0	0	0	1221	87	0	0	6	3	15	137	250728	36631	156631	1920419
822	2173	14	0	0	1	1221	51	0	0	0	0	0	67	250795	36632	156634	1745190
