tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
55	4109	417	101	13	37	64	832	5833	484	84	81	2141	3086	2618368	8112	16365	3503553
56	4207	507	105	27	42	64	1022	7030	658	81	119	2779	3952	2622320	8154	16470	3768730
57	4397	548	358	35	57	128	1099	21925	2029	153	181	7062	8374	2630694	8211	16603	3814083
58	4319	699	145	15	39	128	1443	7827	2205	173	145	4115	5735	2636429	8250	16744	3735939
59	4202	617	225	28	35	128	1264	17088	1809	105	156	4206	5658	2642087	8285	16839	3685428
60	4187	396	281	25	16	128	814	17375	3862	142	163	6716	7725	2649812	8301	16941	3685850
61	2384	95	0	0	5	128	226	0	0	28	20	37	315	2650127	8306	16960	1859816
62	2257	317	0	0	22	128	677	0	0	12	9	21	739	2650866	8328	16978	1698503
63	2027	47	0	0	5	128	124	0	0	16	12	25	193	2651059	8333	16987	1521191
64	92	18	0	0	0	23	55	0	0	0	0	0	71	2651130	8333	16987	3697406
65	2633	63	0	0	4	128	156	0	0	18	11	27	226	2651356	8337	17002	2046643
66	2797	108	0	0	15	247	266	0	0	42	19	51	368	2651724	8352	17016	2210858
67	2646	64	0	0	3	247	160	0	0	16	12	25	229	2651953	8355	17027	2071158
68	2639	57	0	0	2	247	146	0	0	10	6	19	203	2652156	8357	17035	2058966
69	2096	37	0	0	0	247	107	0	0	0	0	0	123	2652279	8357	17035	1832086
70	2626	49	0	0	7	247	135	0	0	4	3	13	183	2652462	8364	17041	2042958
71	2639	52	0	0	5	247	136	0	0	20	12	29	209	2652671	8369	17050	2062827
72	2639	48	0	0	5	247	126	0	0	17	12	26	196	2652867	8374	17062	2062100
73	2646	50	0	0	2	247	129	0	0	15	9	24	194	2653061	8376	17071	2070128
74	2642	46	0	0	5	247	118	0	0	8	6	17	173	2653234	8381	17075	2065016
75	2829	83	0	0	7	311	195	0	0	17	9	26	262	2653496	8388	17084	2272760
76	2833	151	0	0	4	489	333	0	0	26	15	35	415	2653911	8392	17097	2160200
77	2171	98	0	0	30	489	220	0	0	0	0	0	236	2654147	8422	17099	1578255
78	4138	280	0	0	33	489	597	0	0	28	21	37	687	2654834	8455	17125	3516299
79	4156	254	0	0	13	489	549	0	0	104	75	113	769	2655603	8468	17171	3622400
80	3888	275	0	0	22	489	587	0	0	36	25	45	689	2656292	8490	17202	3369432
81	4303	380	0	0	21	256	797	0	0	107	73	116	1018	2657310	8511	17279	3658594
82	4110	221	0	0	28	489	487	0	0	46	33	55	607	2657917	8539	17302	3508992
83	4130	240	0	0	10	489	532	0	0	86	60	95	719	2658636	8549	17341	3519888
