aff_ord	tu	C_wire	B_wire	extra	C_tok	B_tok	new_regions	new_blocks	deepest
390	390	119	157	0	20	33	0	1	1178
391	391	122	166	0	21	33	0	0	1178
392	392	302	350	0	98	124	0	2	1178
393	393	119	118	1	20	33	0	0	1178
394	394	91	165	0	22	38	0	0	1178
395	395	91	170	0	22	35	0	1	1178
396	396	121	200	0	32	46	0	0	1178
397	397	110	92	18	17	24	0	2	1178
398	398	107	122	0	16	23	0	1	1288
399	399	104	124	0	15	22	0	0	1288
400	400	70	90	0	15	22	0	1	1288
401	401	101	90	11	14	22	0	0	1288
402	402	67	121	0	14	21	0	0	1288
403	403	73	119	0	16	22	0	0	1288
404	404	67	115	0	14	19	0	0	1288
405	405	67	112	0	14	18	0	0	1288
406	406	67	109	0	14	17	0	1	1288
407	407	110	87	23	17	21	0	0	1958
408	408	64	75	0	13	17	0	1	1958
409	409	95	75	20	12	17	0	0	1958
410	410	82	145	0	19	29	0	0	1958
411	411	61	72	0	12	16	0	0	1958
412	412	61	72	0	12	16	0	0	1958
413	413	61	103	0	12	15	0	0	1958
414	414	85	118	0	20	20	0	0	1288
415	415	61	66	0	12	14	0	0	1958
416	416	61	66	0	12	14	0	0	1958
417	417	61	66	0	12	14	0	1	1958
418	418	92	66	26	11	14	0	0	3177
419	419	70	72	0	15	16	0	1	1288
420	420	186	218	0	43	60	0	0	1883
421	421	118	207	0	31	47	0	0	935
422	422	85	144	0	20	26	0	0	1895
423	423	226	246	0	59	75	0	2	949
424	424	231	463	0	61	148	0	0	935
425	425	506	878	0	150	311	0	5	1308
426	426	89	234	0	22	63	0	2	355
427	427	189	289	0	44	99	0	1	355
428	428	309	530	0	91	180	0	3	355
429	429	370	507	0	124	170	0	0	355
430	430	190	292	0	44	71	0	1	447
431	431	132	298	0	37	82	0	0	355
432	432	88	237	0	21	61	0	0	1294
433	433	74	76	0	17	18	0	0	935
434	434	147	249	0	41	65	0	0	1895
435	435	88	197	0	21	38	0	0	1678
436	436	64	69	0	13	15	0	0	935
437	437	139	299	0	38	78	0	6	674
438	438	300	413	0	69	121	0	7	935
439	439	167	275	0	36	76	0	0	636
440	440	146	207	0	29	51	0	0	1895
441	441	247	353	0	57	98	0	0	1883
442	442	158	193	0	33	47	0	3	1895
443	443	427	919	0	126	309	0	12	486
