tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
277	3128	72	0	0	2	1279	205	0	0	6	3	15	255	119643	29316	124556	2280201
278	3759	181	0	0	5	378	459	0	0	42	21	51	563	120206	29321	124580	2648784
279	3745	90	0	0	4	1232	246	0	0	18	9	27	314	120520	29325	124597	2649539
280	3747	131	0	0	9	1230	350	0	0	18	9	27	418	120938	29334	124619	2644643
281	3476	126	0	0	5	1281	327	0	0	12	6	21	386	121324	29339	124636	2458044
282	3689	151	0	0	6	378	400	0	0	63	33	72	537	121861	29345	124667	2619151
283	3736	202	0	0	5	760	469	0	0	0	0	0	485	122346	29350	124689	2590431
284	3358	102	0	0	8	1279	278	0	0	23	12	32	354	122700	29358	124722	2421006
285	3350	90	0	0	3	1279	256	0	0	24	12	33	333	123033	29361	124738	2406291
286	3089	55	0	0	1	2118	165	0	0	6	3	15	215	123248	29362	124749	2209753
287	3719	83	0	0	5	1279	229	0	0	36	18	45	324	123572	29367	124769	2636606
288	3359	103	0	0	3	957	286	0	0	17	9	26	353	123925	29370	124792	2415368
289	3855	131	0	0	6	2118	349	0	0	22	12	31	424	124349	29376	124826	2749706
290	3601	98	0	0	4	760	269	0	0	24	12	33	346	124695	29380	124851	2520960
291	3712	64	0	0	5	2118	180	0	0	35	18	44	274	124969	29385	124873	2656492
292	2527	42	0	0	1	1279	126	0	0	18	9	27	194	125163	29386	124889	1957849
293	3748	150	0	0	6	378	392	0	0	29	15	38	477	125640	29392	124909	2651501
294	2744	33	0	0	2	1279	107	0	0	12	6	21	166	125806	29394	124917	2023612
295	3342	62	0	0	8	760	183	0	0	6	3	15	233	126039	29402	124930	2398555
296	3805	197	0	0	8	1232	455	0	0	40	21	49	557	126596	29410	124948	2687206
297	2471	35	0	0	0	2118	113	0	0	6	3	15	163	126759	29410	124957	1875101
298	3347	82	0	0	5	1279	221	0	0	6	3	15	271	127030	29415	124973	2378070
299	4678	223	0	0	15	957	560	0	0	16	9	25	626	127656	29430	125025	3357007
300	2802	57	0	0	1	2118	163	0	0	18	9	27	231	127887	29431	125033	2068964
301	2670	45	0	0	1	774	140	0	0	18	9	27	208	128095	29432	125041	2015131
302	2890	62	0	0	13	1279	171	0	0	0	0	0	187	128282	29445	125046	2178776
303	3527	185	0	0	22	464	463	0	0	47	24	56	575	128857	29467	125104	2504400
304	4162	265	0	0	9	1279	636	0	0	156	78	127	873	129730	29476	125150	2956350
