row	tu	raw_bytes	payload_wire_bytes	definition_wire_bytes	context_wire_bytes	selector_wire_bytes	wire_bytes	cumulative_raw_bytes	cumulative_charged_bytes	cumulative_charged_ratio	vocabulary_assets	online_promoted_assets	online_published_assets	seed_published_assets	online_selected_tus	candidate_state_bytes	logical_state_bytes
pretrained-seed-online-k2	73	1057213	749	217	0	1	967	71170312	224493	317.02686498019983	13935	9459	4428	1445	72	2216055	2631831
pretrained-seed-online-k2	74	1770010	2731	394	0	1	3126	72940322	227619	320.4491804286988	14145	9669	4506	1448	73	2249827	2672801
pretrained-seed-online-k2	75	664725	609	237	0	1	847	73605047	228466	322.17068185200424	14209	9733	4531	1448	74	2246511	2674945
pretrained-seed-online-k2	76	355364	228	179	0	1	408	73960411	228874	323.14902959707086	14226	9750	4550	1448	75	2268417	2697892
pretrained-seed-online-k2	77	827991	359	323	0	1	683	74788402	229557	325.7944737036989	14252	9776	4581	1448	76	2269781	2700914
pretrained-seed-online-k2	78	371917	463	225	0	1	689	75160319	230246	326.43485228842195	14317	9841	4608	1449	77	2243219	2679890
pretrained-seed-online-k2	79	840575	504	74	0	1	579	76000894	230825	329.25763673778835	14346	9870	4614	1450	78	2266075	2704695
pretrained-seed-online-k2	80	940358	509	247	0	1	757	76941252	231582	332.241935901754	14378	9902	4643	1450	79	2272595	2713659
pretrained-seed-online-k2	81	1421405	452	341	0	1	794	78362657	232376	337.22353857541225	14388	9912	4684	1450	80	2304438	2745916
pretrained-seed-online-k2	82	1140109	827	412	0	1	1240	79502766	233616	340.31387404972264	14489	10013	4727	1450	81	2288496	2737436
pretrained-seed-online-k2	83	759822	318	168	0	1	487	80262588	234103	342.8515995096176	14520	10044	4742	1450	82	2289185	2740388
pretrained-seed-online-k2	84	1645089	1136	383	0	1	1520	81907677	235623	347.6217389643626	14691	10215	4793	1453	83	2336327	2793085
pretrained-seed-online-k2	85	1445789	839	500	0	1	1340	83353466	236963	351.7573038828847	14776	10300	4867	1453	84	2323942	2788890
pretrained-seed-online-k2	86	810229	340	310	0	1	651	84163695	237614	354.2034349827872	14827	10351	4896	1453	85	2300148	2769843
pretrained-seed-online-k2	87	1342192	1101	157	0	1	1259	85505887	238873	357.9554281982476	14865	10389	4917	1456	86	2305476	2777229
pretrained-seed-online-k2	88	768484	397	261	0	1	659	86274371	239532	360.1788946779553	14939	10463	4938	1456	87	2283868	2760607
pretrained-seed-online-k2	89	1437020	1154	306	0	1	1461	87711391	240993	363.95825189943275	14964	10488	4967	1456	88	2269147	2750237
pretrained-seed-online-k2	90	102624	335	70	0	1	406	87814015	241399	363.7712459455093	14980	10504	4971	1456	89	2274099	2755693
pretrained-seed-online-k2	91	943068	370	337	0	1	708	88757083	242107	366.60271285010344	15014	10538	5007	1456	90	2261487	2747305
pretrained-seed-online-k2	92	1225492	2619	526	0	1	3146	89982575	245253	366.8969390792365	15241	10765	5050	1456	91	2264994	2755127
pretrained-seed-online-k2	93	1589878	945	274	0	1	1220	91572453	246473	371.53137666194675	15324	10848	5105	1456	92	2245903	2744219
pretrained-seed-online-k2	94	1096125	418	78	0	1	497	92668578	246970	375.22200267238935	15350	10874	5113	1456	93	2252572	2752498
pretrained-seed-online-k2	95	1097655	416	186	0	1	603	93766233	247573	378.7417569767301	15393	10917	5136	1456	94	2238039	2740872
pretrained-seed-online-k2	96	2060575	1090	484	0	1	1575	95826808	249148	384.61801017868896	15470	10994	5206	1456	95	2290538	2796140
pretrained-seed-online-k2	97	1098560	388	0	0	1	389	96925368	249537	388.4208273722935	15472	10996	5206	1456	96	2290712	2796324
pretrained-seed-online-k2	98	1591784	524	109	0	1	634	98517152	250171	393.7992493134696	15518	11042	5220	1456	97	2315862	2824144
pretrained-seed-online-k2	99	2239326	5435	422	0	1	5858	100756478	256029	393.53541200410893	15657	11181	5329	1463	98	2368636	2880985
