tu_index	raw_this_tu	raw_cumulative	z19_this_tu	z19_cumulative	cold0_this_tu	cold0_cumulative	test_this_tu	test_cumulative	saving_vs_z19_cumulative	saving_vs_cold0_cumulative	exact	state_bytes
303	149408	829072760	0	0	3429	3480097	3760	3528600	-3528600	-48503	1	28728875
304	141056	829213816	0	0	1702	3481799	1901	3530501	-3530501	-48702	1	28737804
305	86486	829300302	0	0	543	3482342	578	3531079	-3531079	-48737	1	28739425
306	129816	829430118	0	0	631	3482973	758	3531837	-3531837	-48864	1	28742157
307	122295	829552413	0	0	918	3483891	991	3532828	-3532828	-48937	1	28746949
308	170023	829722436	0	0	5148	3489039	6423	3539251	-3539251	-50212	1	28793166
309	178638	829901074	0	0	5285	3494324	5890	3545141	-3545141	-50817	1	28843943
310	654023	830555097	0	0	1235	3495559	1434	3546575	-3546575	-51016	1	28848936
311	143104	830698201	0	0	2303	3497862	2327	3548902	-3548902	-51040	1	28860904
312	135220	830833421	0	0	1435	3499297	1459	3550361	-3550361	-51064	1	28866423
313	135224	830968645	0	0	1204	3500501	1234	3551595	-3551595	-51094	1	28871823
314	147247	831115892	0	0	2315	3502816	2171	3553766	-3553766	-50950	1	28883743
315	132818	831248710	0	0	794	3503610	770	3554536	-3554536	-50926	1	28887342
316	135351	831384061	0	0	1362	3504972	1404	3555940	-3555940	-50968	1	28893474
317	133343	831517404	0	0	699	3505671	709	3556649	-3556649	-50978	1	28896774
318	134985	831652389	0	0	1407	3507078	1368	3558017	-3558017	-50939	1	28902640
319	132496	831784885	0	0	645	3507723	658	3558675	-3558675	-50952	1	28905629
320	131523	831916408	0	0	521	3508244	534	3559209	-3559209	-50965	1	28907930
321	134819	832051227	0	0	901	3509145	980	3560189	-3560189	-51044	1	28911901
322	139781	832191008	0	0	1889	3511034	1870	3562059	-3562059	-51025	1	28921141
323	135931	832326939	0	0	1121	3512155	1132	3563191	-3563191	-51036	1	28926943
324	131526	832458465	0	0	555	3512710	562	3563753	-3563753	-51043	1	28929351
325	132160	832590625	0	0	639	3513349	658	3564411	-3564411	-51062	1	28932390
326	142343	832732968	0	0	1888	3515237	1804	3566215	-3566215	-50978	1	28942254
327	133400	832866368	0	0	1021	3516258	1085	3567300	-3567300	-51042	1	28947051
328	141408	833007776	0	0	1604	3517862	1456	3568756	-3568756	-50894	1	28955923
329	133119	833140895	0	0	732	3518594	738	3569494	-3569494	-50900	1	28959167
330	134180	833275075	0	0	791	3519385	786	3570280	-3570280	-50895	1	28963374
331	137368	833412443	0	0	1279	3520664	1190	3571470	-3571470	-50806	1	28969431
332	135653	833548096	0	0	861	3521525	856	3572326	-3572326	-50801	1	28973584
333	144020	833692116	0	0	1711	3523236	1434	3573760	-3573760	-50524	1	28983726
334	140199	833832315	0	0	1494	3524730	1309	3575069	-3575069	-50339	1	28992167
335	4164886	837997201	0	0	2475	3527205	2493	3577562	-3577562	-50357	1	29008459
336	4164886	842162087	0	0	53	3527258	53	3577615	-3577615	-50357	1	29008459
337	716226	842878313	0	0	10632	3537890	12890	3590505	-3590505	-52615	1	29068386
338	1158430	844036743	0	0	4538	3542428	4966	3595471	-3595471	-53043	1	29084599
339	8312927	852349670	0	0	167675	3710103	168155	3763626	-3763626	-53523	1	32950618
340	106207	852455877	0	0	751	3710854	795	3764421	-3764421	-53567	1	32953792
341	745414	853201291	0	0	754	3711608	852	3765273	-3765273	-53665	1	32956041
342	622695	853823986	0	0	1007	3712615	1190	3766463	-3766463	-53848	1	32958997
343	101249	853925235	0	0	652	3713267	705	3767168	-3767168	-53901	1	32960950
344	103977	854029212	0	0	1037	3714304	1209	3768377	-3768377	-54073	1	32965349
345	721960	854751172	0	0	6451	3720755	7492	3775869	-3775869	-55114	1	32990834
346	4982275	859733447	0	0	39579	3760334	37506	3813375	-3813375	-53041	1	33236611
347	2898656	862632103	0	0	1949	3762283	1948	3815323	-3815323	-53040	1	33251083
348	5081760	867713863	0	0	35772	3798055	33969	3849292	-3849292	-51237	1	33447603
349	4178365	871892228	0	0	19636	3817691	21356	3870648	-3870648	-52957	1	33564010
350	4079048	875971276	0	0	38029	3855720	38549	3909197	-3909197	-53477	1	33844026
351	3969946	879941222	0	0	5587	3861307	5797	3914994	-3914994	-53687	1	33887277
352	1940376	881881598	0	0	4190	3865497	4472	3919466	-3919466	-53969	1	33908723
353	2948379	884829977	0	0	5904	3871401	5894	3925360	-3925360	-53959	1	33943732
354	3661872	888491849	0	0	28296	3899697	27147	3952507	-3952507	-52810	1	34104862
355	7893133	896384982	0	0	224786	4124483	220237	4172744	-4172744	-48261	1	35405677
356	2651476	899036458	0	0	2676	4127159	2535	4175279	-4175279	-48120	1	35417177
357	3776471	902812929	0	0	11901	4139060	9602	4184881	-4184881	-45821	1	35490602
358	2726095	905539024	0	0	3383	4142443	3333	4188214	-4188214	-45771	1	35510416
359	4307936	909846960	0	0	29290	4171733	26758	4214972	-4214972	-43239	1	35669801
360	3528051	913375011	0	0	37966	4209699	37146	4252118	-4252118	-42419	1	35878623
361	3901695	917276706	0	0	6500	4216199	6674	4258792	-4258792	-42593	1	35907971
362	3538240	920814946	0	0	6363	4222562	6207	4264999	-4264999	-42437	1	35954578
363	3493202	924308148	0	0	21221	4243783	19811	4284810	-4284810	-41027	1	36087007
364	3998091	928306239	0	0	39888	4283671	39502	4324312	-4324312	-40641	1	36322165
365	4437078	932743317	0	0	38032	4321703	38896	4363208	-4363208	-41505	1	36745677
366	5269886	938013203	0	0	94504	4416207	91467	4454675	-4454675	-38468	1	37276097
367	4108553	942121756	0	0	22143	4438350	20878	4475553	-4475553	-37203	1	37401111
368	4197023	946318779	0	0	29918	4468268	28084	4503637	-4503637	-35369	1	37609061
369	3306718	949625497	0	0	9859	4478127	9415	4513052	-4513052	-34925	1	37666074
370	2517670	952143167	0	0	7099	4485226	6386	4519438	-4519438	-34212	1	37718909
371	3225625	955368792	0	0	2050	4487276	2110	4521548	-4521548	-34272	1	37730891
372	3374121	958742913	0	0	19579	4506855	18471	4540019	-4540019	-33164	1	37853434
373	2672214	961415127	0	0	1253	4508108	1379	4541398	-4541398	-33290	1	37858913
374	2755824	964170951	0	0	6338	4514446	6186	4547584	-4547584	-33138	1	37905672
375	2645940	966816891	0	0	741	4515187	813	4548397	-4548397	-33210	1	37909457
376	2650014	969466905	0	0	960	4516147	1027	4549424	-4549424	-33277	1	37917316
377	2645148	972112053	0	0	863	4517010	887	4550311	-4550311	-33301	1	37922148
378	2644052	974756105	0	0	483	4517493	511	4550822	-4550822	-33329	1	37924137
379	2992349	977748454	0	0	852	4518345	854	4551676	-4551676	-33331	1	37926917
380	2644023	980392477	0	0	421	4518766	424	4552100	-4552100	-33334	1	37928785
381	2683190	983075667	0	0	3328	4522094	3471	4555571	-4555571	-33477	1	37949856
382	2648645	985724312	0	0	662	4522756	719	4556290	-4556290	-33534	1	37953797
383	5077038	990801350	0	0	82652	4605408	78402	4634692	-4634692	-29284	1	38445440
384	3662277	994463627	0	0	7810	4613218	7718	4642410	-4642410	-29192	1	38495973
385	4546744	999010371	0	0	35744	4648962	35173	4677583	-4677583	-28621	1	38695587
386	4176218	1003186589	0	0	9443	4658405	9093	4686676	-4686676	-28271	1	38748685
387	3227553	1006414142	0	0	3838	4662243	3928	4690604	-4690604	-28361	1	38776614
388	4359933	1010774075	0	0	38062	4700305	35520	4726124	-4726124	-25819	1	39014494
389	3601127	1014375202	0	0	11144	4711449	10907	4737031	-4737031	-25582	1	39069721
390	4122595	1018497797	0	0	2055	4713504	2130	4739161	-4739161	-25657	1	39079237
391	4522263	1023020060	0	0	28402	4741906	27934	4767095	-4767095	-25189	1	39236794
392	3992070	1027012130	0	0	15211	4757117	14996	4782091	-4782091	-24974	1	39319055
393	3618883	1030631013	0	0	3174	4760291	2969	4785060	-4785060	-24769	1	39342689
394	4300058	1034931071	0	0	10254	4770545	9709	4794769	-4794769	-24224	1	39403883
395	3784260	1038715331	0	0	13160	4783705	12806	4807575	-4807575	-23870	1	39466306
396	2991485	1041706816	0	0	1720	4785425	1704	4809279	-4809279	-23854	1	39475587
397	5034536	1046741352	0	0	24136	4809561	22818	4832097	-4832097	-22536	1	39632105
398	4942699	1051684051	0	0	76598	4886159	71168	4903265	-4903265	-17106	1	40091886
399	3984977	1055669028	0	0	7710	4893869	7494	4910759	-4910759	-16890	1	40134427
400	5082499	1060751527	0	0	60719	4954588	56147	4966906	-4966906	-12318	1	40523609
401	3580295	1064331822	0	0	5847	4960435	5617	4972523	-4972523	-12088	1	40559152
402	4521107	1068852929	0	0	11082	4971517	10509	4983032	-4983032	-11515	1	40639813
403	4899031	1073751960	0	0	6569	4978086	6338	4989370	-4989370	-11284	1	40687563
404	4301845	1078053805	0	0	26677	5004763	24663	5014033	-5014033	-9270	1	40847947
