tu_index	raw_this_tu	raw_cumulative	z19_this_tu	z19_cumulative	cold0_this_tu	cold0_cumulative	test_this_tu	test_cumulative	saving_vs_z19_cumulative	saving_vs_cold0_cumulative	exact	state_bytes
204	5283601	1248292171	0	0	8651	6513701	8628	6603721	-6603721	-90020	1	74680276
205	5140102	1253432273	0	0	3101	6516802	3012	6606733	-6606733	-89931	1	74698255
206	4951570	1258383843	0	0	732	6517534	765	6607498	-6607498	-89964	1	74700847
207	5974821	1264358664	0	0	6363	6523897	6002	6613500	-6613500	-89603	1	74729065
208	3996583	1268355247	0	0	97184	6621081	88646	6702146	-6702146	-81065	1	75462044
209	2835262	1271190509	0	0	1840	6622921	1935	6704081	-6704081	-81160	1	75471898
210	6378382	1277568891	0	0	19201	6642122	18313	6722394	-6722394	-80272	1	75582526
211	5897308	1283466199	0	0	10267	6652389	10304	6732698	-6732698	-80309	1	75642586
212	5970041	1289436240	0	0	15069	6667458	14419	6747117	-6747117	-79659	1	75736252
213	6491152	1295927392	0	0	31220	6698678	29233	6776350	-6776350	-77672	1	75922955
214	5955478	1301882870	0	0	6210	6704888	6362	6782712	-6782712	-77824	1	75959899
215	5920672	1307803542	0	0	11315	6716203	11390	6794102	-6794102	-77899	1	76031065
216	5883359	1313686901	0	0	6031	6722234	6330	6800432	-6800432	-78198	1	76070573
217	5875949	1319562850	0	0	6254	6728488	6356	6806788	-6806788	-78300	1	76109152
218	5942144	1325504994	0	0	13427	6741915	14118	6820906	-6820906	-78991	1	76200685
219	6169821	1331674815	0	0	12879	6754794	12753	6833659	-6833659	-78865	1	76324996
220	5933227	1337608042	0	0	601	6755395	593	6834252	-6834252	-78857	1	76326801
221	2961267	1340569309	0	0	1401	6756796	1379	6835631	-6835631	-78835	1	76332684
222	5936226	1346505535	0	0	1334	6758130	1368	6836999	-6836999	-78869	1	76338284
223	6216066	1352721601	0	0	1278	6759408	1371	6838370	-6838370	-78962	1	76343423
224	438	1352722039	0	0	148	6759556	148	6838518	-6838518	-78962	1	76343610
225	6234967	1358957006	0	0	4920	6764476	4916	6843434	-6843434	-78958	1	76370138
226	4308699	1363265705	0	0	3123	6767599	3305	6846739	-6846739	-79140	1	76388117
227	6227774	1369493479	0	0	3508	6771107	3627	6850366	-6850366	-79259	1	76406677
228	6809066	1376302545	0	0	67624	6838731	64376	6914742	-6914742	-76011	1	76815168
229	6530593	1382833138	0	0	42698	6881429	41467	6956209	-6956209	-74780	1	77120572
230	6244516	1389077654	0	0	3332	6884761	3116	6959325	-6959325	-74564	1	77137699
