logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions
121	121	1	3063938	9131	4084923	434245268	10040935	4942	125	4040	24	0	1	57	4877	257	976	2788	1	1	58
122	122	2	2856621	8124	3499135	437101889	10049059	6877	87	1136	24	0	1	108	6761	243	366	508	1	1	39
123	123	3	5042192	112917	14273739	442144081	10161976	9365	544	102984	24	0	1	490	8866	301	14545	88118	1	1	303
124	124	4	4617031	38107	8058608	446761112	10200083	9615	427	28041	24	0	1	268	9338	330	5788	21903	1	1	227
125	125	5	2072253	3372	3245645	448833365	10203455	1116	73	2159	24	0	1	97	1011	347	439	1354	1	1	32
126	126	6	2568030	22700	5481792	451401395	10226155	6145	184	16347	24	0	1	193	5943	371	2301	13656	1	1	87
127	127	7	4567300	124287	13862099	455968695	10350442	9504	1075	113684	24	0	1	919	8576	459	18366	94838	1	1	636
128	128	0	3953449	49620	7614869	459922144	10400062	9110	561	39922	27	0	1	83	9018	421	6474	33006	1	1	312
129	129	1	1955142	10494	3390675	461877286	10410556	4228	157	6082	27	0	1	179	4039	477	1187	4398	1	1	73
130	130	2	1647856	11038	2792986	463525142	10421594	3561	60	7390	27	0	1	98	3454	475	672	6223	1	1	25
131	131	3	2236210	36560	6372570	465761352	10458154	4493	301	31739	27	0	1	473	4010	407	4663	26648	1	1	157
132	132	4	2592390	32243	4965292	468353742	10490397	6342	395	25479	27	0	1	310	6022	393	4025	21040	1	1	207
133	133	5	1743095	32600	3959525	470096837	10522997	3670	147	28756	27	0	1	186	3474	581	2333	25821	1	1	72
134	134	6	2022895	27274	4534983	472119732	10550271	4591	189	22467	27	0	1	212	4369	651	2744	19051	1	1	89
135	135	7	2052673	36797	4851973	474172405	10587068	4876	312	31582	27	0	1	340	4526	670	4718	26173	1	1	156
136	136	0	1976770	11795	3379155	476149175	10598863	4464	195	7109	27	0	1	100	4355	681	1635	4773	1	1	92
137	137	1	2369083	21250	3797364	478518258	10620113	5354	189	15680	27	0	1	219	5125	672	2783	12205	1	1	95
138	138	2	1856721	10523	2820996	480374979	10630636	4151	102	6243	27	0	1	81	4061	683	1062	4478	1	1	46
139	139	3	2076342	46831	5060382	482451321	10677467	4605	640	41559	27	0	1	158	4437	683	8572	32283	1	1	390
140	140	4	1927715	4234	3221705	484379036	10681701	917	90	3200	27	0	1	136	771	670	491	2019	1	1	40
141	141	5	1758615	4917	2599547	486137651	10686618	50	34	4806	27	0	1	41	1	475	583	3728	1	1	12
142	142	6	1962959	13352	2969546	488100610	10699970	4254	94	8977	27	0	1	152	4092	449	1093	7415	1	1	42
143	143	7	2301824	22926	4270864	490402434	10722896	1429	143	21327	27	0	1	119	1301	388	2482	18436	1	1	66
144	144	0	4466037	97101	10177314	494868471	10819997	9939	579	86556	27	0	1	684	9245	447	11674	74414	1	1	327
145	145	1	2786401	30213	5257172	497654872	10850210	6607	419	23160	27	0	1	429	6168	464	5552	17123	1	1	230
146	146	2	4042791	61462	8426157	501697663	10911672	8333	491	52611	27	0	1	328	7995	450	7911	44229	1	1	249
147	147	3	2341791	7625	3016206	504039454	10919297	5011	142	2445	27	0	1	139	4862	440	915	1070	1	1	55
148	148	4	5338306	138631	14323519	509377760	11057928	12259	1585	124760	27	0	1	1277	10972	795	20944	102999	1	1	819
149	149	5	3345805	29793	6433121	512723565	11087721	2832	459	26475	27	0	1	68	2755	788	5780	19886	1	1	240
150	150	6	3226990	11810	4596994	515950555	11099531	7857	136	3790	27	0	1	86	7762	748	976	2046	1	1	50
151	151	7	3603368	15247	5096912	519553923	11114778	3895	236	11089	27	0	1	252	3633	696	2173	8200	1	1	100
152	152	0	2002292	5668	3078816	521556215	11120446	1085	88	4468	27	0	1	84	992	648	879	2921	1	1	29
153	153	1	3593725	62593	8104608	525149940	11183039	8818	794	52954	27	0	1	353	8455	774	10657	41502	1	1	406
154	154	2	3270700	58155	10324034	528420640	11241194	7902	673	49553	27	0	1	140	7752	770	9889	38872	1	1	339
155	155	3	3103667	41851	5868771	531524307	11283045	7461	482	33881	27	0	1	87	7365	762	7139	25958	1	1	225
156	156	4	2318918	21880	3461195	533843225	11304925	5528	207	16118	27	0	1	55	5464	410	2810	12877	1	1	93
157	157	5	2324434	22847	5959911	536167659	11327772	5607	231	16982	27	0	1	58	5540	401	3228	13332	1	1	105
158	158	6	2859562	21756	5122003	539027221	11349528	2972	268	18489	27	0	1	157	2805	384	3419	14665	1	1	118
159	159	7	2745201	26711	4622174	541772422	11376239	6720	288	19676	27	0	1	79	6632	370	4053	15232	1	1	128
160	160	0	5268437	296329	20724719	547040859	11672568	12478	3628	280196	27	0	1	3513	8955	1158	45831	233184	1	1	1824
161	161	1	3901021	133454	13999409	550941880	11806022	5935	2096	125396	27	0	1	216	5709	1021	26088	98264	1	1	1057
162	162	2	5648896	300941	33972549	556590776	12106963	13650	3500	283764	27	0	1	352	13288	1065	47879	234797	1	1	1750
163	163	3	4647203	42266	7553099	561237979	12149229	6524	599	35116	27	0	1	424	6090	1094	6992	27008	1	1	303
164	164	4	5384109	258246	28523267	566622088	12407475	9349	2833	246037	27	0	1	407	8932	1151	40340	204523	1	1	1428
165	165	5	3757878	111681	11143444	570379966	12519156	9227	1624	100803	27	0	1	245	8972	1211	19714	79855	1	1	817
166	166	6	4255021	179719	14790078	574634987	12698875	7340	2517	169835	27	0	1	173	7157	1230	33773	134809	1	1	1264
167	167	7	4422666	193447	17966293	579057653	12892322	11473	2583	179364	27	0	1	119	11345	1246	35329	142766	1	1	1292
168	168	0	3665053	20000	5898191	582722706	12912322	8504	183	11286	27	0	1	53	8442	507	2043	8715	1	1	68
169	169	1	6169470	163155	27710949	588892176	13075477	12099	1216	149813	27	0	1	297	11792	524	23491	125775	1	1	611
170	170	2	5098648	35905	7863248	593990824	13111382	8730	505	26643	27	0	1	476	8244	603	5842	20176	1	1	234
171	171	3	4376001	179921	14559138	598366825	13291303	11196	2650	166048	27	0	1	281	10905	584	35223	130218	1	1	1331
172	172	4	4191388	45382	7814409	602558213	13336685	10927	682	33746	27	0	1	121	10797	580	7330	25814	1	1	319
173	173	5	4459467	92844	11366873	607017680	13429529	7651	1293	83873	27	0	1	378	7263	589	18375	64886	1	1	645
174	174	6	5079225	134398	20436959	612096905	13563927	8561	1294	124516	27	0	1	162	8389	590	18307	105596	1	1	647
175	175	7	4068126	41037	7279119	616165031	13604964	9962	519	30529	27	0	1	592	9360	662	8084	21761	1	1	239
176	176	0	4262079	26273	6346221	620427110	13631237	11021	251	14974	27	0	1	135	10876	651	2944	11358	1	1	99
177	177	1	4530667	79803	8056148	624957777	13711040	11369	786	67621	27	0	1	115	11245	616	10797	56186	1	1	391
178	178	2	4484470	16958	6086041	629442247	13727998	11303	225	5403	27	0	1	152	11141	484	2560	2338	1	1	90
179	179	3	2004029	4922	2768935	631446276	13732920	2568	40	2287	27	0	1	51	2508	454	99	1714	1	1	11
180	180	4	6572910	96685	22131698	638019186	13829605	8458	747	87453	27	0	1	655	7793	490	15102	71839	1	1	362
181	181	5	3576456	37268	6731821	641595642	13866873	8926	584	27731	27	0	1	408	8508	433	4614	22662	1	1	277
182	182	6	5937659	51338	10002625	647533301	13918211	8130	408	42773	27	0	1	282	7838	450	9139	33162	1	1	179
183	183	7	5258676	141739	20971008	652791977	14059950	13139	1264	127309	27	0	1	131	12998	366	18237	108683	1	1	644
184	184	0	3933920	12721	5224502	656725897	14072671	10034	129	2531	27	0	1	88	9937	378	973	1159	1	1	45
185	185	1	4009788	15718	5488762	660735685	14088389	10133	127	5431	27	0	1	139	9984	378	1180	3852	1	1	47
186	186	2	5365076	29192	7871439	666100761	14117581	13519	344	15302	27	0	1	277	13232	451	3294	11536	1	1	146
