tu	raw	wire	cumulative_raw	cumulative_wire	keys	missing	occurrences	body_bytes
665	2143600	92155	2027269389	133680460	30143	76	72610	146018
666	1241391	57623	2028510780	133738083	17905	177	42446	86181
667	1255171	59023	2029765951	133797106	18108	251	42952	89512
668	1244245	56799	2031010196	133853905	17944	145	42535	82203
669	1235341	54455	2032245537	133908360	17800	48	42255	75656
670	1252404	57860	2033497941	133966220	18082	207	42692	85344
671	2478768	103593	2035976709	134069813	32372	235	77663	235581
672	4725484	169967	2040702193	134239780	48426	1413	105737	323838
673	3488508	131562	2044190701	134371342	38776	1021	87735	248834
674	3338930	107414	2047529631	134478756	36632	18	83311	166460
675	2081944	86339	2049611575	134565095	28300	73	68357	134849
676	2078948	87287	2051690523	134652382	28262	17	68279	130816
677	2734492	123027	2054425015	134775409	35486	666	88764	240622
678	2686079	113925	2057111094	134889334	34835	220	87635	200109
679	2685145	112346	2059796239	135001680	34778	125	87548	196647
680	3908517	128907	2063704756	135130587	41297	293	91568	227344
681	3554555	109857	2067259311	135240444	37443	23	84761	170876
682	5675089	455396	2072934400	135695840	61155	19835	186443	1656749
683	5705313	218593	2078639713	135914433	61442	492	187273	439773
684	5707693	219677	2084347406	136134110	61363	553	187508	443112
685	5577053	209400	2089924459	136343510	60420	153	184150	400406
686	5617216	207281	2095541675	136550791	60497	73	185328	410563
687	5685352	212644	2101227027	136763435	61183	178	186719	417123
688	4315588	168993	2105542615	136932428	44966	638	148776	357936
689	5932584	239799	2111475199	137172227	63011	1489	191674	594097
