tu	raw	wire	cumulative_raw	cumulative_wire	keys	missing	occurrences	body_bytes
196	4401194	199277	710466086	35770861	60471	382	155547	335305
197	4461010	245575	714927096	36016436	66708	2791	197830	485502
198	4155406	196724	719082502	36213160	61295	33	153969	316182
199	5241132	247929	724323634	36461089	77987	46	191971	400700
200	4936312	230184	729259946	36691273	69318	326	176224	381328
201	3950832	182979	733210778	36874252	57568	25	146100	296490
202	2931169	138461	736141947	37012713	42554	288	110301	232136
203	1688438	79688	737830385	37092401	23497	28	63649	118640
204	5268727	239285	743099112	37331686	74656	148	218426	425786
205	3982502	185472	747081614	37517158	55015	482	142021	312721
206	4195997	197789	751277611	37714947	58814	368	153077	331748
207	4582935	212326	755860546	37927273	63255	569	161725	361847
208	5334740	262657	761195286	38189930	79504	1007	195200	457144
209	4315671	207255	765510957	38397185	63354	340	159836	344982
210	3702869	172491	769213826	38569676	52786	116	137134	280333
211	4337756	207176	773551582	38776852	63605	115	161011	335997
212	3960306	175280	777511888	38952132	53875	133	139236	287316
213	4585437	237101	782097325	39189233	67274	1321	170142	423097
214	4801319	238185	786898644	39427418	71899	847	206568	444527
215	3966339	190516	790864983	39617934	58656	220	148573	312193
216	5927127	275700	796792110	39893634	86204	337	211667	459889
217	5807979	273197	802600089	40166831	84418	439	207146	455411
218	3325029	148077	805925118	40314908	46749	271	121208	252888
219	3926663	182949	809851781	40497857	54246	529	169425	345920
220	5514995	260685	815366776	40758542	82440	57	232137	453185
221	5063745	239221	820430521	40997763	75754	103	186832	390833
222	3389531	156580	823820052	41154343	50265	78	124966	257636
223	3970700	183797	827790752	41338140	56977	290	142751	304405
224	3304528	155733	831095280	41493873	50760	39	124122	250717
225	4952868	242006	836048148	41735879	70847	998	208784	448899
226	5004357	241056	841052505	41976935	70600	954	179042	421957
227	3999060	189802	845051565	42166737	59925	46	179647	336199
228	2159102	97177	847210667	42263914	30958	64	79880	154836
229	2069876	100651	849280543	42364565	29820	457	80460	171420
230	2209656	107061	851490199	42471626	31972	416	83212	178145
231	2179436	130768	853669635	42602394	31848	1902	82456	271678
232	1818393	85590	855488028	42687984	25565	27	68911	128539
233	2102699	98742	857590727	42786726	30748	187	79734	162195
234	2166499	100501	859757226	42887227	31615	147	82104	166560
235	2105967	104442	861863193	42991669	30727	654	79944	192309
236	2187660	103719	864050853	43095388	31808	339	83246	185929
237	2065749	97214	866116602	43192602	30248	147	78072	157819
238	2079620	96291	868196222	43288893	30049	57	78986	156168
239	2052892	96237	870249114	43385130	30040	73	77652	154151
240	1976277	91710	872225391	43476840	28836	50	74994	146615
241	2063528	97263	874288919	43574103	30233	110	77996	157335
242	2053479	98250	876342398	43672353	30069	203	77635	161097
243	2050152	95229	878392550	43767582	29999	60	77543	150872
244	1886986	87349	880279536	43854931	27618	8	72229	137695
245	1977267	92144	882256803	43947075	28840	83	75013	149112
246	2212855	103984	884469658	44051059	32125	184	83515	175202
247	1973876	90869	886443534	44141928	28793	20	74926	144560
248	1984542	91434	888428076	44233362	28964	16	75245	142441
249	2087488	117876	890515564	44351238	30715	1646	77167	268213
250	1888594	87308	892404158	44438546	26644	106	71255	139248
251	2256196	105784	894660354	44544330	33026	189	84962	175158
252	2075361	98174	896735715	44642504	30443	192	78324	161249
253	1043816	48061	897779531	44690565	14450	20	39925	70080
254	2254339	103577	900033870	44794142	33004	66	84918	167897
255	2207387	104295	902241257	44898437	32345	228	83719	175644
256	2132775	98328	904374032	44996765	31130	76	80843	157792
257	2117265	97274	906491297	45094039	30942	51	80336	157410
258	2052386	94976	908543683	45189015	30081	46	77731	152078
259	2791252	134160	911334935	45323175	40119	618	103471	248783
260	2166312	98961	913501247	45422136	31528	49	82255	159239
261	2131740	100143	915632987	45522279	31080	279	80796	172071
262	2178590	99984	917811577	45622263	31729	60	82736	160939
263	2676743	125584	920488320	45747847	38730	283	99171	213276
264	2020135	94047	922508455	45841894	29555	62	76348	148130
265	2594363	117697	925102818	45959591	37265	78	96120	193003
266	2105899	99177	927208717	46058768	30859	217	79628	162561
267	2172547	99997	929381264	46158765	31694	107	82437	161612
268	2704680	127065	932085944	46285830	39039	333	99938	219516
269	2283855	108118	934369799	46393948	33358	275	86038	181650
270	2065650	95853	936435449	46489801	30297	37	78026	152743
271	2399040	130961	938834489	46620762	34462	1250	124778	284728
272	2839973	145751	941674462	46766513	40567	1034	137001	295200
273	2137046	96470	943811508	46862983	30804	25	113183	186313
274	2179121	103471	945990629	46966454	31508	332	114518	206275
275	2398376	109889	948389005	47076343	34422	58	124708	211565
276	3160001	198914	951549006	47275257	46836	3275	153716	455569
277	2280201	104631	953829207	47379888	32648	112	118491	202236
278	2648784	122858	956477991	47502746	38238	167	133849	240949
279	2649539	121407	959127530	47624153	38010	78	134216	232094
280	2644643	122180	961772173	47746333	38192	125	133763	235467
281	2458044	116224	964230217	47862557	35404	276	124736	227413
282	2619151	120074	966849368	47982631	37784	85	132945	234045
283	2590431	134722	969439799	48117353	37341	975	131252	279998
284	2421006	113698	971860805	48231051	34773	235	126622	224079
285	2406291	111301	974267096	48342352	34552	129	126229	215992
286	2209753	101191	976476849	48443543	31943	86	113182	193197
287	2636606	120907	979113455	48564450	38089	69	133605	230846
288	2415368	111744	981528823	48676194	34698	134	125290	215928
289	2749706	144218	984278529	48820412	39763	1018	137623	286983
290	2520960	118847	986799489	48939259	36263	255	129186	234235
291	2656492	126356	989455981	49065615	38430	339	134292	245003
292	1957849	90684	991413830	49156299	27423	126	74040	145800
293	2651501	122393	994065331	49278692	38302	102	133953	237399
294	2023612	91743	996088943	49370435	29031	11	78789	146674
295	2398555	109439	998487498	49479874	34424	29	124717	211553
296	2687206	137301	1001174704	49617175	38857	750	135012	275174
297	1875101	87689	1003049805	49704864	26410	185	74310	144657
298	2378070	108463	1005427875	49813327	34148	76	122220	208923
299	3357007	179771	1008784882	49993098	48104	1494	158046	365380
300	2068964	95371	1010853846	50088469	29682	150	108162	189480
301	2015131	93936	1012868977	50182405	28945	186	107691	187349
302	2178776	101079	1015047753	50283484	31054	187	112602	196848
303	2504400	125150	1017552153	50408634	35268	840	93779	232220
304	2956350	163954	1020508503	50572588	42526	1530	145678	337825
305	1863394	85048	1022371897	50657636	26210	46	70426	133064
306	1797194	85122	1024169091	50742758	25200	57	67765	128216
307	2272919	106102	1026442010	50848860	32033	250	85232	177117
308	1856354	84331	1028298364	50933191	26105	37	70230	131621
309	2218488	101605	1030516852	51034796	31604	89	85839	166573
310	2220559	105362	1032737411	51140158	31356	324	83493	177127
311	2102781	96071	1034840192	51236229	29882	78	78970	153076
312	2106812	96869	1036947004	51333098	29943	119	79169	156454
313	2602358	123341	1039549362	51456439	36292	529	95482	214777
314	2139448	97110	1041688810	51553549	29945	74	80154	155580
315	2141410	96521	1043830220	51650070	29961	36	80224	154036
316	1859228	84952	1045689448	51735022	26151	67	70299	133532
317	1860650	84776	1047550098	51819798	26155	34	70356	132263
318	2210351	100714	1049760449	51920512	30969	131	83055	165664
319	1877166	87749	1051637615	52008261	26462	193	70823	142053
320	1803169	85599	1053440784	52093860	25337	54	68156	128373
321	1953803	88795	1055394587	52182655	27528	56	73418	140424
322	2869737	165787	1058264324	52348442	43377	1798	106073	307882
323	2025900	96546	1060290224	52444988	28617	354	75787	164747
324	2106108	100045	1062396332	52545033	29818	334	78633	167705
325	1904706	86634	1064301038	52631667	26768	38	71772	135603
326	1819437	85512	1066120475	52717179	25581	24	68944	128452
327	1818399	86104	1067938874	52803283	25565	43	68910	129423
328	2264333	111555	1070203207	52914838	33467	580	85028	186967
329	2240963	107964	1072444170	53022802	33266	278	84589	178018
330	2099526	97397	1074543696	53120199	30804	72	79566	157861
331	2113177	99500	1076656873	53219699	30986	201	79991	167695
332	2689218	146722	1079346091	53366421	40533	1201	100720	268209
333	2682132	137460	1082028223	53503881	40831	767	99912	244154
334	1962396	89987	1083990619	53593868	28629	24	74620	142048
335	2084194	101946	1086074813	53695814	30766	409	79151	176528
336	2205220	103437	1088280033	53799251	32445	141	83194	168144
337	2495931	120986	1090775964	53920237	36568	365	94196	204359
338	1770977	83708	1092546941	54003945	24752	54	66663	125104
339	2005112	94381	1094552053	54098326	28257	222	75565	156718
340	2310272	108323	1096862325	54206649	34085	94	87505	175174
341	2214644	103536	1099076969	54310185	32629	87	84179	168448
342	2305341	107296	1101382310	54417481	34006	46	87306	171292
343	3133922	172814	1104516232	54590295	47817	1400	116021	316968
344	2988064	146889	1107504296	54737184	45382	413	110503	249713
345	2097237	97785	1109601533	54834969	30760	71	79109	155032
346	2038054	93454	1111639587	54928423	28773	52	76739	149584
347	2506094	115934	1114145681	55044357	37095	41	93655	187306
348	2746254	128548	1116891935	55172905	41507	43	102568	207433
349	2581651	122718	1119473586	55295623	38893	85	97428	196458
350	2073175	96156	1121546761	55391779	30435	49	78268	151668
351	2503730	115437	1124050491	55507216	37062	29	93577	184204
352	2502614	115124	1126553105	55622340	37056	22	93559	183387
353	2504894	115835	1129057999	55738175	37097	45	93689	186485
354	2865415	136058	1131923414	55874233	43327	71	107143	218039
355	2563914	119240	1134487328	55993473	37848	89	95979	191171
356	2874128	137443	1137361456	56130916	43458	147	107527	220587
357	2504276	115711	1139865732	56246627	37081	33	93613	185475
358	2532180	116803	1142397912	56363430	37478	28	94687	185067
359	2517241	118942	1144915153	56482372	37263	219	94270	194270
360	2978282	144780	1147893435	56627152	45300	247	110790	239366
361	2782036	129988	1150675471	56757140	42086	27	103869	207025
362	2510756	117204	1153186227	56874344	37143	112	93787	188597
