tu	raw	cumulative_raw	p29batch_wire	p29batch_cum_wire	p29batch_ratio	grz2_cum_wire	grz2_group_closes	grz2_ratio	grz2_fine_cum_wire	fastintern_wire	fastintern_cum_wire	fastintern_ratio	pred_cum_wire	pred_ratio	predfrozen_cum_wire	p29socket_wire	p29socket_cum_wire	p29socket_ratio	p29socket_b_root	p29socket_b_need	p29socket_b_fill
125	2369195	309222277	215	557055	555.10	409592	0	754.95	454340	98318	13529491	22.86	543349	569.10	3147343	969	1078586	286.69	22	19	904
126	3000292	312222569	381	557436	560.10	409592	0	762.28	454340	121573	13651064	22.87	544998	572.89	3202807	6588	1085174	287.72	5709	35	820
127	3243643	315466212	1919	559355	563.98	409592	0	770.20	463466	136563	13787627	22.88	548189	575.47	3206867	8513	1093687	288.44	558	114	7817
128	3015324	318481536	599	559954	568.76	409592	0	777.56	463466	122493	13910120	22.90	549952	579.11	3207504	1452	1095139	290.81	89	60	1276
129	1980872	320462408	757	560711	571.53	409592	0	782.39	463466	88100	13998220	22.89	551816	580.74	3251247	5996	1101135	291.03	4211	70	1688
130	2437416	322899824	829	561540	575.03	409592	0	788.35	463466	104700	14102920	22.90	553317	583.57	3252729	5012	1106147	291.91	227	48	4710
131	3100518	326000342	806	562346	579.71	409592	0	795.91	463466	124879	14227799	22.91	555661	586.69	3256376	1968	1108115	294.19	497	56	1388
132	2440038	328440380	5481	567827	578.42	409592	0	801.87	463466	113701	14341500	22.90	560013	586.49	3297162	16584	1124699	292.03	4122	185	12250
133	2355059	330795439	411	568238	582.14	409592	0	807.62	463466	99000	14440500	22.91	561055	589.60	3308177	3129	1127828	293.30	1033	34	2035
134	2268042	333063481	513	568751	585.61	409592	0	813.16	463466	98315	14538815	22.91	563179	591.40	3322865	4587	1132415	294.12	1535	44	2981
135	2364511	335427992	777	569528	588.96	409592	0	818.93	485224	101859	14640674	22.91	565341	593.32	3371944	8591	1141006	293.98	5005	46	3513
136	2335395	337763387	383	569911	592.66	409592	0	824.63	485224	98563	14739237	22.92	565952	596.81	3372688	1491	1142497	295.64	120	28	1316
137	2147228	339910615	361	570272	596.05	409592	0	829.88	485224	91550	14830787	22.92	567206	599.27	3404968	3862	1146359	296.51	3211	34	590
138	2236185	342146800	377	570649	599.57	409592	0	835.34	485224	95498	14926285	22.92	567998	602.37	3405838	1479	1147838	298.08	147	32	1273
139	2140225	344287025	459	571108	602.84	409592	0	840.56	485224	91169	15017454	22.93	569334	604.72	3409397	1038	1148876	299.67	524	52	435
140	383161	344670186	229	571337	603.27	409592	0	841.50	485224	16739	15034193	22.93	569715	604.99	3414618	824	1149700	299.79	507	22	268
141	1896705	346566891	398	571735	606.17	409592	0	846.13	485224	84744	15118937	22.92	571544	606.37	3449907	3853	1153553	300.43	3472	38	316
142	1982371	348549262	818	572553	608.76	409592	0	850.97	485224	84981	15203918	22.92	573896	607.34	3491188	4882	1158435	300.88	4206	80	569
143	4761659	353310921	58537	631090	559.84	409592	0	862.59	573568	323578	15527496	22.75	604604	584.37	3582151	139701	1298136	272.17	9792	1566	128316
144	2037086	355348007	474	631564	562.65	409592	0	867.57	573568	85604	15613100	22.76	606829	585.58	3614835	3736	1301872	272.95	3249	48	412
145	2460774	357808781	1435	632999	565.26	409592	0	873.57	573568	101769	15714869	22.77	610119	586.46	3653780	7034	1308906	273.36	4098	153	2756
146	2727806	360536587	640	633639	568.99	409592	0	880.23	573568	109770	15824639	22.78	613437	587.73	3710630	6123	1315029	274.17	5629	54	413
147	2397816	362934403	344	633983	572.47	409592	0	886.09	573568	99009	15923648	22.79	615574	589.59	3756533	4988	1320017	274.95	4592	32	337
148	4775303	367709706	5099	639082	575.37	409592	0	897.75	573568	200658	16124306	22.80	643391	571.52	3849325	20776	1340793	274.25	10057	123	10569
