row	tu	raw_bytes	payload_wire_bytes	definition_wire_bytes	context_wire_bytes	selector_wire_bytes	wire_bytes	cumulative_raw_bytes	cumulative_charged_bytes	cumulative_charged_ratio	vocabulary_assets	online_promoted_assets	online_published_assets	seed_published_assets	online_selected_tus	candidate_state_bytes	logical_state_bytes
empty-frozen	172	1082936	30669	0	0	0	30669	188390084	3581997	52.593590670232274	0	0	0	0	0	0	0
empty-frozen	173	810229	26249	0	0	0	26249	189200313	3608246	52.43553599172562	0	0	0	0	0	0	0
empty-frozen	174	763024	22012	0	0	0	22012	189963337	3630258	52.327778631711574	0	0	0	0	0	0	0
empty-frozen	175	5297	1477	0	0	0	1477	189968634	3631735	52.30795583928894	0	0	0	0	0	0	0
empty-frozen	176	921806	28527	0	0	0	28527	190890440	3660262	52.15212462932981	0	0	0	0	0	0	0
empty-frozen	177	1507436	39156	0	0	0	39156	192397876	3699418	52.007606601903326	0	0	0	0	0	0	0
empty-frozen	178	610513	15215	0	0	0	15215	193008389	3714633	51.958938877676474	0	0	0	0	0	0	0
empty-frozen	179	58777	4619	0	0	0	4619	193067166	3719252	51.910213666618986	0	0	0	0	0	0	0
empty-frozen	180	915518	29195	0	0	0	29195	193982684	3748447	51.750147194291394	0	0	0	0	0	0	0
empty-frozen	181	1425503	38510	0	0	0	38510	195408187	3786957	51.60031840868539	0	0	0	0	0	0	0
empty-frozen	182	1084107	30788	0	0	0	30788	196492294	3817745	51.46815567828653	0	0	0	0	0	0	0
empty-frozen	183	622851	19489	0	0	0	19489	197115145	3837234	51.36907079422313	0	0	0	0	0	0	0
empty-frozen	184	1127345	29293	0	0	0	29293	198242490	3866527	51.27146144330558	0	0	0	0	0	0	0
empty-frozen	185	650272	20264	0	0	0	20264	198892762	3886791	51.17145789418572	0	0	0	0	0	0	0
empty-frozen	186	904019	29345	0	0	0	29345	199796781	3916136	51.01885659742154	0	0	0	0	0	0	0
empty-frozen	187	820648	23160	0	0	0	23160	200617429	3939296	50.92722887541327	0	0	0	0	0	0	0
empty-frozen	188	578728	13646	0	0	0	13646	201196157	3952942	50.89782673259562	0	0	0	0	0	0	0
empty-frozen	189	11130	1641	0	0	0	1641	201207287	3954583	50.87952054616125	0	0	0	0	0	0	0
empty-frozen	190	1499149	38044	0	0	0	38044	202706436	3992627	50.770191154846174	0	0	0	0	0	0	0
empty-frozen	191	1435923	38400	0	0	0	38400	204142359	4031027	50.64276647117472	0	0	0	0	0	0	0
empty-frozen	192	1456269	31496	0	0	0	31496	205598628	4062523	50.60860652358153	0	0	0	0	0	0	0
empty-frozen	193	1057213	30600	0	0	0	30600	206655841	4093123	50.488548963713036	0	0	0	0	0	0	0
empty-frozen	194	1769936	42886	0	0	0	42886	208425777	4136009	50.39296988957229	0	0	0	0	0	0	0
