corpus	row	rep	tus	first_byte_ms	wire_TU50	wire_TU100	wire_TU200	wire_full	wall_TU50	wall_TU100	wall_TU200	C_wall	C_user	C_sys	peakRSS_KiB	exact/ledger/txn
corpus12	t1to4-at100	2	650	71.166	968586	1106427	5822462	9609073	0.008	0.007	0.007	6.98	2.58	6.12	3754932	OK/OK/OK
corpus12	t1to4-at100	3	650	72.736	968586	1106427	5822462	9609073	0.009	0.009	0.007	6.94	2.57	6.13	3754832	OK/OK/OK
corpus12	t1to8-at100	1	650	73.280	968586	1106427	10545079	16438751	0.007	0.008	0.006	7.49	2.86	6.42	3753660	OK/OK/OK
corpus12	t1to8-at100	2	650	73.390	968586	1106427	10545079	16438751	0.007	0.010	0.006	7.58	2.84	6.56	3753404	OK/OK/OK
corpus12	t1to8-at100	3	650	72.433	968586	1106427	10545079	16438751	0.007	0.007	0.006	7.46	2.84	6.51	3753148	OK/OK/OK
corpus12	t1to4-at200	1	650	71.532	968586	1106427	1880563	8845801	0.008	0.008	0.005	6.99	2.66	6.04	3756112	OK/OK/OK
corpus12	t1to4-at200	2	650	72.700	968586	1106427	1880563	8845801	0.007	0.007	0.005	7.04	2.72	6.04	3755600	OK/OK/OK
corpus12	t1to4-at200	3	650	71.696	968586	1106427	1880563	8845801	0.007	0.007	0.006	7.10	2.69	6.14	3755432	OK/OK/OK
corpus12	t1to8-at200	1	650	72.689	968586	1106427	1880563	15320616	0.008	0.006	0.005	7.64	2.97	6.41	3754400	OK/OK/OK
corpus12	t1to8-at200	2	650	72.889	968586	1106427	1880563	15320616	0.007	0.006	0.007	7.64	2.91	6.52	3754832	OK/OK/OK
corpus12	t1to8-at200	3	650	73.957	968586	1106427	1880563	15320616	0.006	0.006	0.005	7.64	2.91	6.60	3754576	OK/OK/OK
