tu	pass	raw	cumulative_raw	stream	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	build_close	stream_switch_delta
238	4	1494907	280920324	4	457745	364291	14371841	44075010	NA	0	
239	4	1091510	282011834	4	457760	364291	14425806	44248432	NA	0	
240	4	1893739	283905573	4	457775	364291	14511659	44529773	NA	0	
241	4	1195003	285100576	4	457790	364291	14571848	44719451	NA	0	
242	4	1709466	286810042	4	457805	364291	14651570	44969620	NA	0	
243	4	1450567	288260609	4	457820	364291	14718332	45179656	NA	0	
244	4	1530552	289791161	4	457835	364291	14794817	45423572	NA	0	
245	4	1025043	290816204	4	457850	364291	14844468	45583071	NA	0	
246	4	1093945	291910149	4	457865	364291	14898830	45756408	NA	0	
247	4	764286	292674435	4	457880	364291	14936329	45879688	NA	0	
248	4	1509484	294183919	4	457895	364291	15011829	46120265	NA	0	
249	4	764286	294948205	4	457910	364291	15049328	46243545	NA	0	
250	4	1419168	296367373	4	457925	364291	15119478	46467998	NA	0	
251	4	764286	297131659	4	457940	364291	15156977	46591278	NA	0	
252	4	1490855	298622514	4	457955	364291	15232570	46828171	NA	0	
253	4	764286	299386800	4	457970	364291	15270069	46951451	NA	0	
254	4	1110682	300497482	4	457985	364291	15324870	47128121	NA	0	
255	4	764286	301261768	4	458000	364291	15362369	47251401	NA	0	
256	4	1880684	303142452	4	458015	364291	15447437	47531539	NA	0	
257	4	764286	303906738	4	458030	364291	15484936	47654819	NA	0	
258	4	1481788	305388526	4	458045	364291	15555502	47885726	NA	0	
259	4	764286	306152812	4	458060	364291	15593001	48009006	NA	0	
260	4	1283114	307435926	4	458075	364291	15657264	48212021	NA	0	
261	4	764286	308200212	4	458090	364291	15694763	48335301	NA	0	
262	4	1196938	309397150	4	458105	364291	15754679	48526233	NA	0	
263	4	764286	310161436	4	458120	364291	15792178	48649513	NA	0	
264	4	1501133	311662569	4	458135	364291	15867600	48888108	NA	0	
265	4	764286	312426855	4	458150	364291	15905099	49011388	NA	0	
266	4	1895521	314322376	4	458165	364291	15991342	49293096	NA	0	
267	4	764286	315086662	4	458180	364291	16028841	49416376	NA	0	
268	4	1430203	316516865	4	458195	364291	16099570	49640454	NA	0	
269	4	764286	317281151	4	458210	364291	16137069	49763734	NA	0	
270	4	1094923	318376074	4	458225	364291	16191526	49937829	NA	0	
271	4	764286	319140360	4	458240	364291	16229025	50061109	NA	0	
272	4	1453058	320593418	4	458255	364291	16295788	50271614	NA	0	
273	4	764286	321357704	4	458270	364291	16333287	50394894	NA	0	
274	4	1893180	323250884	4	458285	364291	16419133	50677294	NA	0	
275	4	764286	324015170	4	458300	364291	16456632	50800574	NA	0	
276	4	1451914	325467084	4	458315	364291	16523206	51010893	NA	0	
277	4	764286	326231370	4	458330	364291	16560705	51134173	NA	0	
278	4	1629581	327860951	4	458345	364291	16635305	51371089	NA	0	
279	4	764286	328625237	4	458360	364291	16672804	51494369	NA	0	
280	4	1631687	330256924	4	458375	364291	16747525	51731828	NA	0	
281	4	764286	331021210	4	458390	364291	16785024	51855108	NA	0	
282	4	1451577	332472787	4	458405	364291	16851925	52064687	NA	0	
283	4	764286	333237073	4	458420	364291	16889424	52187967	NA	0	
284	4	1454020	334691093	4	458435	364291	16956089	52398733	NA	0	
285	4	764286	335455379	4	458450	364291	16993588	52522013	NA	0	
286	4	1783268	337238647	4	458465	364291	17078101	52799930	NA	0	
287	4	1310665	338549312	4	458487	364291	17144273	53009204	NA	1	
