corpus	checkpoint	tu	corpus_tus	method	raw_bytes	build_wire_bytes	average_wire_bytes_per_tu	ratio	saved_vs_empty_bytes	saved_vs_empty_percent	installation_bytes_excluded	ideal_1gbit_seconds	ideal_1GBps_seconds	exact
eigen	250	250	650	pre_shared_installed	1365556584	749494	2997.976	1821.9713353275677	383052	33.82220236529024	79138	0.005995952	0.000749494	True
eigen	250	250	650	pre_shared_c_only	1365556584	893882	3575.528	1527.669853515341	238664	21.073227930697737	0	0.007151056	0.000893882	True
eigen	300	300	650	empty_online	1646744337	1358623	4528.743333333333	1212.0686437665195	0	0.0	0	0.010868984	0.001358623	True
eigen	300	300	650	pre_shared_installed	1646744337	892768	2975.8933333333334	1844.537816095559	465855	34.28876148865432	79138	0.007142144	0.000892768	True
eigen	300	300	650	pre_shared_c_only	1646744337	1037442	3458.14	1587.312193838306	321181	23.64018568800911	0	0.008299536	0.001037442	True
eigen	full	650	650	empty_online	3532268956	2492788	3835.0584615384614	1416.9953305295116	0	0.0	0	0.019942304	0.002492788	True
eigen	full	650	650	pre_shared_installed	3532268956	1329694	2045.683076923077	2656.4525041099682	1163094	46.65836003703484	79138	0.010637552	0.001329694	True
eigen	full	650	650	pre_shared_c_only	3532268956	1488122	2289.4184615384615	2373.6420508533574	1004666	40.30290582271738	0	0.011904976	0.001488122	True
re2	50	50	72	empty_online	73998053	357235	7144.7	207.14110599465337	0	0.0	0	0.00285788	0.000357235	True
re2	50	50	72	pre_shared_installed	73998053	215144	4302.88	343.9466264455435	142091	39.775217993757614	79138	0.001721152	0.000215144	True
re2	50	50	72	pre_shared_c_only	73998053	218795	4375.9	338.207239653557	138440	38.75320167396812	0	0.00175036	0.000218795	True
