corpus	scenario	tus	raw_bytes	empty_wire_bytes	seed_wire_bytes	empty_ratio	seed_ratio	seed_gain_vs_empty_percent	seed_strictly_smaller	seed_published_assets	all_published_assets	final_logical_state_bytes	package_sha256	affected_tus	affected_occurrences	exact	seed_change_vs_standard_percent	empty_change_vs_standard_percent
llvm	perturb	200	724323634	1651031	1437856	438.7098933938854	503.7525551932878	14.825893552622805	True	1499	12030	21887050	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	200	200	True	-0.10063594685421062	-6.05682146437303e-05
rocksdb	perturb	200	1224557334	11398342	11120506	107.4329348952681	110.11705168811564	2.498411493146091	True	1508	19405	24292016	4a2950b18807e6981e87cbacb28311e5789c089fbc630669eae9ebb9a4c504a6	200	200	True	-2.6977189704346927e-05	-0.0056499445270197235
duckdb	perturb	200	646795216	1655712	1375591	390.6447594750778	470.1944226154431	20.363683682140987	True	1674	10415	6397757	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	200	400	True	-0.5812047330928993	0.001147542567792037
abseil	perturb	200	548396320	4005633	3796812	136.9062817287555	144.43599525075248	5.499903603338807	True	1875	11124	23606544	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	200	396	True	0.0302358926383528	0.0
opencv	perturb	200	307655351	1236925	1069467	248.7259542817875	287.6716635482909	15.65808014646548	True	1287	6691	9680563	4a2950b18807e6981e87cbacb28311e5789c089fbc630669eae9ebb9a4c504a6	200	200	True	-0.027770842859109468	0.00016169129091192502
godot	perturb	200	382645585	555382	437404	688.9772895052414	874.8104384047699	26.97231849731598	True	1093	7136	3766974	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	200	200	True	-0.05372607475011559	0.00018005624957684319
fmt	perturb	50	136350082	1209224	1041757	112.75833261662025	130.88472839635347	16.07543793802202	True	1770	7014	6081479	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	50	100	True	0.023997918900464654	-0.00016539532791126632
spdlog	perturb	34	98384472	462998	304829	212.49437794547708	322.75299266145936	51.887779705999094	True	1418	3395	2017872	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	34	34	True	-0.09349504148227217	-0.0004319673087116449
catch2	perturb	200	212426768	452240	385282	469.721316115337	551.3539900644204	17.378958788627543	True	1538	6399	2892521	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	200	389	True	0.12354587029759223	-0.0004422430567863067
nlohmann-json	perturb	99	293917707	819927	648163	358.4681404564065	453.46264288458303	26.500124197154108	True	1984	8438	6461443	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	99	197	True	0.07482685682460577	-0.00012196207711534512
range-v3	perturb	200	484251452	778423	608538	622.092939186021	795.7620592304836	27.91690905087274	True	1660	8460	12124269	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	200	200	True	0.09596771278046479	0.010534118339267096
eigen	perturb	200	1098381060	971960	828048	1130.0681715296926	1326.4702770853864	17.379668811469863	True	1339	7685	6539465	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	200	200	True	-0.0007245956756163352	-0.0005144244619170735
re2	perturb	72	110231455	391807	253016	281.34120880943937	435.6698983463496	54.85463369905461	True	1464	5359	3619224	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	72	144	True	-0.14821197078445092	-0.0007656831041868983
leveldb	perturb	72	143868249	823236	648334	174.7594237861318	221.904526062184	26.97714449650952	True	1660	7613	4875444	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	72	144	True	-0.060154179790050666	0.003158268102954054
simdjson	perturb	153	468377342	910703	675768	514.3030625791284	693.1037604621705	34.76562962436813	True	1987	10052	5237241	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	153	304	True	0.4241100496028327	-0.0005490264114671461
cereal	perturb	84	326899429	271698	271610	1203.17201083556	1203.5618313022349	0.032399396193061314	True	1130	3340	2127941	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	84	84	True	-0.0011045248702212795	-0.0007361114178205952
