logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
86	86	26	2144976	12471	3559676	315037752	25004703	5255	371	6821	24	0	1	25	5222	1126	4053	1623	1	1	185	5255	6821	6	12082	371	18	389	1
87	87	27	3561155	21574	5208986	318598907	25026277	8268	204	13078	24	0	1	67	8193	1110	2694	9255	1	1	98	8268	13078	6	21352	204	18	222	1
88	88	28	3556695	34867	6255119	322155602	25061144	8533	436	25874	24	0	1	35	8490	1093	5500	19261	1	1	213	8533	25874	6	34413	436	18	454	1
89	89	29	3272470	32191	5391445	325428072	25093335	7619	365	24183	24	0	1	27	7584	1068	5560	17535	1	1	177	7619	24183	6	31808	365	18	383	1
90	90	0	3461960	25179	5319115	328890032	25118514	8631	210	16314	24	0	1	85	8538	1060	3032	12203	1	1	100	8631	16314	6	24951	210	18	228	1
91	91	1	3523849	70541	7403662	332413881	25189055	7716	473	62328	24	0	1	54	7654	1062	11405	49841	1	1	255	7716	62328	6	70050	473	18	491	1
92	92	2	3489699	42936	7347962	335903580	25231991	8664	524	33724	24	0	1	162	8493	1055	8031	24618	1	1	272	8664	33724	6	42394	524	18	542	1
93	93	3	3220543	9034	4340971	339124123	25241025	3845	123	5042	24	0	1	99	3738	1017	1768	2238	1	1	57	3845	5042	6	8893	123	18	141	1
94	94	4	3249087	11770	4103623	342373210	25252795	8027	129	3590	24	0	1	77	7942	997	1200	1374	1	1	60	8027	3590	6	11623	129	18	147	1
95	95	5	4333113	136124	12622147	346706323	25388919	6264	1402	128434	24	0	1	285	5970	1069	29518	97826	1	1	841	6264	128434	6	134704	1402	18	1420	1
96	96	6	3517462	36908	5942951	350223785	25425827	7856	504	28524	24	0	1	138	7709	1078	8373	19053	1	1	257	7856	28524	6	36386	504	18	522	1
97	97	7	3547675	26782	6436158	353771460	25452609	4760	437	21561	24	0	1	301	4450	1103	7010	13429	1	1	238	4760	21561	6	26327	437	18	455	1
98	98	8	3179678	42570	6610916	356951138	25495179	7806	537	34203	24	0	1	100	7698	1068	10075	23040	1	1	285	7806	34203	6	42015	537	18	555	1
99	99	9	3859590	89269	9593327	360810728	25584448	9817	1188	78240	24	0	1	115	9694	1052	20495	56672	1	1	684	9817	78240	6	88063	1188	18	1206	1
100	100	10	3433195	45385	7233403	364243923	25629833	8300	600	36461	24	0	1	73	8219	1033	9226	26182	1	1	323	8300	36461	6	44767	600	18	618	1
101	101	11	3071572	38922	7328191	367315495	25668755	2221	113	36564	24	0	1	140	2072	1074	1011	34459	1	1	52	2221	36564	6	38791	113	18	131	1
102	102	12	3525715	27181	5970431	370841210	25695936	1426	235	25496	24	0	1	45	1373	1054	4180	20242	1	1	114	1426	25496	6	26928	235	18	253	1
103	103	13	5110625	172822	23333747	375951835	25868758	10163	1291	161344	24	0	1	1091	9063	1042	29288	130993	1	1	755	10163	161344	6	171513	1291	18	1309	1
104	104	14	3463434	8093	5149496	379415269	25876851	4252	79	3738	24	0	1	77	4167	1044	571	2104	1	1	35	4252	3738	6	7996	79	18	97	1
105	105	15	3540687	36822	6691726	382955956	25913673	8853	299	27646	24	0	1	99	8746	1046	4903	21677	1	1	144	8853	27646	6	36505	299	18	317	1
106	106	16	3244383	11862	4649680	386200339	25925535	7829	52	3957	24	0	1	53	7768	991	609	2338	1	1	22	7829	3957	6	11792	52	18	70	1
107	107	17	3662822	22867	5548903	389863161	25948402	4310	216	18317	24	0	1	116	4186	1000	3410	13888	1	1	103	4310	18317	6	22633	216	18	234	1
108	108	18	4307369	46776	8942321	394170530	25995178	9081	329	37342	24	0	1	171	8901	957	6012	30353	1	1	165	9081	37342	6	46429	329	18	347	1
109	109	19	4136276	100993	12739196	398306806	26096171	5482	1095	94392	24	0	1	76	5398	930	21036	72405	1	1	665	5482	94392	6	99880	1095	18	1113	1
110	110	20	2776734	12993	4208563	401083540	26109164	6717	177	6075	24	0	1	116	6593	957	1229	3870	1	1	84	6717	6075	6	12798	177	18	195	1
111	111	21	3350332	30047	6172879	404433872	26139211	8303	367	21353	24	0	1	114	8181	961	3772	16600	1	1	189	8303	21353	6	29662	367	18	385	1
112	112	22	3439469	105789	11117467	407873341	26245000	3640	823	101302	24	0	1	174	3457	965	16514	83802	1	1	485	3640	101302	6	104948	823	18	841	1
113	113	23	4692869	59294	8803252	412566210	26304294	9774	737	48759	24	0	1	349	9416	950	9421	38368	1	1	402	9774	48759	6	58539	737	18	755	1
114	114	24	2637187	10077	3942024	415203397	26314371	6414	115	3524	24	0	1	117	6289	835	592	2078	1	1	53	6414	3524	6	9944	115	18	133	1
115	115	25	681	1021	694236	415204078	26315392	30	21	946	24	0	1	22	1	802	51	76	1	1	6	30	946	6	982	21	18	39	1
116	116	26	2409700	9805	3700795	417613778	26325197	5754	176	3851	24	0	1	152	5593	792	2224	816	1	1	83	5754	3851	6	9611	176	18	194	1
117	117	27	2524092	79798	8656693	420137870	26404995	6024	1162	72588	24	0	1	85	5931	765	18127	53675	1	1	667	6024	72588	6	78618	1162	18	1180	1
118	118	28	3294128	17566	5256835	423431998	26422561	7652	104	9786	24	0	1	89	7555	775	1273	7719	1	1	48	7652	9786	6	17444	104	18	122	1
119	119	29	3798909	14446	5601063	427230907	26437007	8557	180	5685	24	0	1	108	8441	768	2597	2301	1	1	85	8557	5685	6	14248	180	18	198	1
120	120	0	3950423	83467	10310392	431181330	26520474	9262	592	73589	24	0	1	205	9048	783	14202	58584	1	1	326	9262	73589	6	82857	592	18	610	1
121	121	1	3063938	18021	5034417	434245268	26538495	7309	330	10358	24	0	1	57	7244	776	5965	3598	1	1	160	7309	10358	6	17673	330	18	348	1
