tu	pass	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
2747	3	2399040	8179377169	7346463	16434682	379829059	1282293464	NA	0
2748	3	2839973	8182217142	7346479	16434682	379955008	1282731202	NA	0
2749	3	2137046	8184354188	7346495	16434682	380050863	1283062448	NA	0
2750	3	2179121	8186533309	7346511	16434682	380148866	1283401946	NA	0
2751	3	2398376	8188931685	7346527	16434682	380257147	1283775588	NA	0
2752	3	3160001	8192091686	7346543	16434682	380406626	1284283997	NA	0
2753	3	2280201	8194371887	7346559	16434682	380509004	1284637355	NA	0
2754	3	2648784	8197020671	7346575	16434682	380629022	1285052707	NA	0
2755	3	2649539	8199670210	7346591	16434682	380748658	1285466426	NA	0
2756	3	2644643	8202314853	7346607	16434682	380868364	1285881504	NA	0
2757	3	2458044	8204772897	7346623	16434682	380979313	1286265959	NA	0
2758	3	2619151	8207392048	7346639	16434682	381097985	1286675581	NA	0
2759	3	2590431	8209982479	7346655	16434682	381215233	1287080692	NA	0
2760	3	2421006	8212403485	7346671	16434682	381324705	1287458680	NA	0
2761	3	2406291	8214809776	7346687	16434682	381433408	1287834369	NA	0
2762	3	2209753	8217019529	7346703	16434682	381532799	1288179235	NA	0
2763	3	2636606	8219656135	7346719	16434682	381652219	1288593333	NA	0
2764	3	2415368	8222071503	7346735	16434682	381761497	1288970306	NA	0
2765	3	2749706	8224821209	7346751	16434682	381886392	1289403957	NA	0
2766	3	2520960	8227342169	7346767	16434682	382000547	1289797775	NA	0
2767	3	2656492	8229998661	7346783	16434682	382121017	1290215134	NA	0
2768	3	1957849	8231956510	7346799	16434682	382209329	1290517786	NA	0
2769	3	2651501	8234608011	7346815	16434682	382329594	1290934125	NA	0
2770	3	2023612	8236631623	7346831	16434682	382421010	1291250602	NA	0
2771	3	2398555	8239030178	7346847	16434682	382529574	1291624839	NA	0
2772	3	2687206	8241717384	7346863	16434682	382651390	1292046883	NA	0
2773	3	1875101	8243592485	7346879	16434682	382735931	1292336866	NA	0
2774	3	2378070	8245970555	7346895	16434682	382842979	1292706498	NA	0
2775	3	3357007	8249327562	7346911	16434682	382996638	1293235362	NA	0
2776	3	2068964	8251396526	7346927	16434682	383089421	1293554911	NA	0
2777	3	2015131	8253411657	7346943	16434682	383180696	1293866135	NA	0
2778	3	2178776	8255590433	7346959	16434682	383278533	1294202265	NA	0
2779	3	2504400	8258094833	7346975	16434682	383390406	1294593260	NA	0
2780	3	2956350	8261051183	7346991	16434682	383524927	1295062280	NA	0
2781	3	1863394	8262914577	7347007	16434682	383612077	1295349397	NA	0
2782	3	1797194	8264711771	7347023	16434682	383695902	1295625022	NA	0
2783	3	2272919	8266984690	7347039	16434682	383797769	1295979561	NA	0
2784	3	1856354	8268841044	7347055	16434682	383884151	1296266127	NA	0
