pass	tu_ord	region_count	root_tokens	blocks_after	new_blocks	max_depth	deep_refs	root_raw	root_z1	root_z3	root_z6	changed	tok_per_reg
0	309	729	299	19821	0	12	17	897	597	597	597	0	0.4102
0	310	1174	106	19821	18	12	69	318	295	297	297	0	0.0903
0	311	503	92	19839	3	12	12	276	242	242	242	0	0.1829
0	312	482	138	19842	4	8	57	414	349	353	353	0	0.2863
0	313	482	54	19846	5	12	16	162	143	143	148	0	0.1120
0	314	522	99	19851	8	12	20	297	254	258	258	0	0.1897
0	315	473	127	19859	14	8	57	381	338	338	338	0	0.2685
0	316	478	120	19873	9	9	59	360	311	314	314	0	0.2510
0	317	475	109	19882	50	9	58	327	278	278	278	0	0.2295
0	318	470	80	19932	4	9	52	240	193	197	197	0	0.1702
0	319	472	77	19936	6	9	50	231	195	197	197	0	0.1631
0	320	469	70	19942	6	10	48	210	178	178	178	0	0.1493
0	321	482	82	19948	25	10	46	246	206	208	208	0	0.1701
0	322	492	109	19973	9	10	55	327	291	293	293	0	0.2215
0	323	485	52	19982	5	13	17	156	148	148	148	0	0.1072
0	324	469	59	19987	0	10	36	177	155	155	155	0	0.1258
0	325	470	60	19987	3	10	36	180	157	157	157	0	0.1277
0	326	499	65	19990	4	13	20	195	176	176	176	0	0.1303
0	327	479	50	19994	0	13	12	150	137	137	137	0	0.1044
0	328	504	69	19994	2	13	22	207	180	180	180	0	0.1369
0	329	476	62	19996	9	10	35	186	166	166	166	0	0.1303
0	330	482	65	20005	16	11	29	195	168	168	168	0	0.1349
0	331	484	56	20021	0	11	25	168	151	151	151	0	0.1157
0	332	489	54	20021	3	13	14	162	147	147	147	0	0.1104
0	333	507	111	20024	21	11	57	333	291	291	291	0	0.2189
0	334	492	51	20045	1	13	17	153	143	143	143	0	0.1037
0	335	5113	360	20046	70	11	274	1080	846	846	846	0	0.0704
0	336	5113	315	20116	100	11	247	945	741	741	741	0	0.0616
0	337	1101	273	20216	24	9	70	819	610	613	613	0	0.2480
0	338	1652	270	20240	23	9	142	810	663	663	663	0	0.1634
0	339	5580	471	20263	81	12	217	1413	1064	1064	1064	0	0.0844
0	340	364	103	20344	48	8	32	309	272	272	272	0	0.2830
0	341	1061	129	20392	15	9	100	387	346	346	346	0	0.1216
0	342	896	100	20407	5	9	80	300	256	256	256	0	0.1116
0	343	363	65	20412	6	9	48	195	169	169	169	0	0.1791
0	344	364	63	20418	28	9	47	189	164	164	164	0	0.1731
0	345	1127	228	20446	3	10	56	684	539	540	540	0	0.2023
0	346	5973	957	20449	105	12	381	2871	2180	2180	2180	0	0.1602
0	347	3480	156	20554	10	12	102	468	411	411	411	0	0.0448
0	348	5895	829	20564	67	12	364	2487	1913	1913	1913	0	0.1406
0	349	5134	444	20631	52	12	257	1332	1054	1054	1054	0	0.0865
0	350	5139	600	20683	15	12	429	1800	1330	1330	1333	0	0.1168
0	351	5215	739	20698	39	12	447	2217	1650	1651	1651	0	0.1417
0	352	2567	157	20737	11	12	75	471	405	405	405	0	0.0612
0	353	3619	209	20748	15	12	106	627	520	520	520	0	0.0578
0	354	4435	454	20763	44	12	168	1362	1029	1029	1029	0	0.1024
0	355	8622	2968	20807	238	13	711	8904	6710	6710	6710	0	0.3442
0	356	3203	99	21045	8	12	67	297	280	280	280	0	0.0309
0	357	4318	354	21053	25	12	183	1062	868	868	868	0	0.0820
0	358	3347	185	21078	7	13	124	555	482	482	482	0	0.0553
0	359	4746	454	21085	32	13	251	1362	1072	1072	1072	0	0.0957
0	360	3874	221	21117	26	13	109	663	554	551	546	0	0.0570
0	361	4955	386	21143	10	13	315	1158	896	896	896	0	0.0779
0	362	4123	237	21153	28	13	128	711	596	596	596	0	0.0575
0	363	4225	383	21181	12	13	108	1149	865	866	864	0	0.0907
0	364	4500	524	21193	41	13	147	1572	1188	1188	1188	0	0.1164
0	365	4621	450	21234	44	13	213	1350	1082	1082	1082	0	0.0974
0	366	6341	1217	21278	94	12	404	3651	2765	2758	2754	0	0.1919
0	367	5185	458	21372	50	13	208	1374	1066	1066	1066	0	0.0883
0	368	5256	502	21422	30	13	207	1506	1165	1165	1165	0	0.0955
0	369	3820	167	21452	14	12	103	501	449	449	449	0	0.0437
0	370	3138	172	21466	18	13	60	516	456	456	456	0	0.0548
0	371	3773	158	21484	19	13	115	474	438	438	438	0	0.0419
0	372	3980	314	21503	17	12	96	942	729	729	729	0	0.0789
0	373	3322	88	21520	18	13	66	264	263	263	263	0	0.0265
0	374	3355	131	21538	16	13	80	393	365	365	365	0	0.0390
0	375	3296	60	21554	8	12	51	180	177	177	177	0	0.0182
0	376	3296	55	21562	16	12	47	165	162	162	162	0	0.0167
0	377	3294	51	21578	6	13	41	153	152	152	152	0	0.0155
0	378	3298	50	21584	3	13	36	150	144	144	144	0	0.0152
0	379	3636	109	21587	8	13	83	327	318	318	318	0	0.0300
0	380	3296	39	21595	6	13	31	117	115	115	115	0	0.0118
0	381	3335	56	21601	7	13	38	168	165	165	165	0	0.0168
0	382	3311	30	21608	3	13	25	90	94	94	94	0	0.0091
0	383	5900	1475	21611	87	13	384	4425	3289	3289	3289	0	0.2500
0	384	4247	192	21698	11	14	105	576	502	502	502	0	0.0452
0	385	5326	994	21709	65	12	418	2982	2306	2306	2306	0	0.1866
0	386	4924	531	21774	69	14	266	1593	1263	1263	1263	0	0.1078
0	387	3844	182	21843	20	13	119	546	489	489	489	0	0.0473
0	388	4995	736	21863	115	14	292	2208	1709	1709	1709	0	0.1473
0	389	4325	301	21978	27	14	164	903	745	745	745	0	0.0696
0	390	4958	362	22005	29	13	314	1086	858	858	858	0	0.0730
0	391	5469	403	22034	18	14	202	1209	972	972	976	0	0.0737
0	392	4601	391	22052	86	14	172	1173	939	936	930	0	0.0850
0	393	4301	217	22138	54	15	126	651	538	538	538	0	0.0505
0	394	5342	288	22192	33	15	178	864	702	702	702	0	0.0539
0	395	4416	591	22225	63	11	452	1773	1433	1433	1433	0	0.1338
0	396	3573	188	22288	22	14	130	564	505	505	505	0	0.0526
0	397	5853	658	22310	43	14	317	1974	1541	1541	1541	0	0.1124
0	398	5142	1061	22353	183	13	496	3183	2485	2485	2485	0	0.2063
0	399	4542	333	22536	34	13	247	999	835	835	835	0	0.0733
